"Milk","Groc","Froz","Deli","Frsh","Clen"
7242,70898,6379,14830,7125,968
12987,37628,9233,6738,12776,45438
13074,90656,8450,6772,15970,33277
10041,125629,10546,7337,10431,8497
5886,43284,10590,5949,12718,384
4992,74458,7691,8001,11271,14641
4260,61924,7768,3170,7412,31976
12987,67052,9486,10118,14748,35026
11712,101383,11528,1719,12801,40784
10881,126938,8566,4664,8936,40158
13107,154336,5099,5343,15310,23953
11135,192858,5870,8360,22062,9485
11463,186428,5662,6510,21762,30774
5865,40180,11245,6366,6033,20555
6265,41640,7272,11491,3270,28400
10788,221110,6067,7171,16051,39254
12068,122828,10283,9393,11584,8689
11317,128609,10513,4801,14858,58677
4939,102232,8679,6213,13273,11369
9058,107718,6603,3096,19181,9965
6262,33253,5115,12399,10673,20039
12685,69887,5533,10686,20717,50972
11925,171601,6447,9306,21137,5183
6102,39436,8563,2709,16139,30120
6192,96237,5361,8836,3883,17267
11566,136964,9808,3405,16516,27373
12061,79898,11888,10987,13825,10639
12447,144292,6930,758,21789,21154
5801,66488,4695,9887,5807,25776
12410,227451,6971,8651,21330,32022
6809,116189,3667,15579,1229,18642
4947,58052,8563,8810,8373,13401
12804,42765,9314,2082,12336,32384
11668,73348,8952,3356,11847,2619
5527,32542,9094,3994,12527,42242
6246,123318,5745,10180,5400,25376
12283,181569,6973,7330,16713,26650
12384,52537,8124,11953,11727,42969
4930,25313,9410,7723,10452,17505
5197,80415,9351,3030,15750,8199
11672,89912,8903,8969,12436,4175
11082,42693,9075,6960,11404,19416
5022,29038,4182,13710,1113,17021
14010,40158,9244,5688,16002,24855
5985,70813,8793,8955,12054,38788
11102,80953,10616,5573,9837,4422
6318,32632,11421,4245,10907,16763
13214,87277,11405,183,15479,26764
12218,84356,8076,3256,13466,33538
5661,26962,9525,6843,10540,19639
12468,195296,8050,1865,20205,6525
5555,62700,4525,10735,5742,40607
11808,75901,7518,8044,16703,12472
5615,84246,8237,5251,13723,9830
10465,190508,4647,1078,20557,11881
6870,62758,8491,9979,12526,4051
7448,65455,8390,10107,9734,31957
6330,88762,9976,3659,15003,6856
12189,156331,6190,7188,13858,19181
10651,224231,4660,8131,21726,22017
10942,136783,10454,8021,6626,21094
6855,79466,7306,5254,12269,12903
7136,30080,5310,4795,7166,44831
6743,48177,8905,5968,15898,37752
11889,58377,10458,3572,9534,7338
4147,55203,9153,1172,14632,23035
9987,215988,5101,9928,10113,20655
12785,46735,5779,8278,18448,23834
6182,35881,4061,12955,9091,31391
6049,77560,8952,7459,12512,3077
5789,71188,4431,13000,5193,15952
5456,124881,4181,14179,6694,16195
11316,76300,11027,13418,10955,27936
6925,45029,10075,4205,11395,11015
7374,62708,9347,14510,9109,4323
9859,62428,8501,1287,5396,16898
5835,53667,8570,9567,17298,32189
10901,85779,10481,10665,10643,33596
12348,188249,4655,8834,19119,4100
12128,121911,11049,1408,10322,266
10737,39273,9292,2518,8645,20712
12534,134340,8790,9119,14701,15729
13628,116997,9852,4273,9264,46266
8943,191310,5576,6388,16521,8863
11172,98258,9041,5493,12918,9926
10902,125092,10373,7624,15473,38726
13135,127160,11140,6432,11875,31788
7505,46848,8547,12322,7646,17610
11536,136282,6373,9074,18080,2308
4951,65102,7783,11890,9088,29401
6789,61504,8816,11044,11672,31081
11845,132650,6007,10655,21014,20593
6647,37030,9487,1434,6120,16769
4833,100887,4430,7357,13853,46032
11923,69833,5752,5863,19447,30675
7168,54509,9132,8190,7683,11594
6547,69562,7428,2583,13575,17337
5117,67193,9918,9376,12840,56997
12115,92995,10357,5131,10240,9275
7530,70311,9922,6481,14658,28877
5797,66227,3798,10099,997,33791
12147,94978,7291,5801,17736,27707
5681,72989,5577,15448,5042,20137
4738,83502,9124,1398,13440,27794
4704,49983,8320,4740,10318,43312
12933,226547,6456,2457,20828,10118
6243,59660,9624,9280,9450,10503
13774,116264,6599,948,15420,5720
6733,63269,5284,2896,7726,21356
5850,66343,9940,10860,8305,26317
4923,93398,10415,8485,15347,22890
12571,210249,6925,3941,19655,10593
5997,78304,7977,2322,8648,40851
11541,195028,6465,2719,19346,3865
12257,129291,9659,4010,12937,35507
6406,70134,5080,15446,3351,28863
7457,101825,5163,12007,7052,22755
7420,51150,10065,11841,14551,9212
7252,153888,5386,5688,167,25746
9245,106508,4913,5454,3436,19011
8667,84866,8742,11565,6500,23175
6745,78187,8620,7398,10564,22501
4300,122519,5924,15932,9703,18918
4051,58593,9675,2753,11901,22720
12086,180284,5618,9694,20997,17290
11835,121774,10915,2075,13907,15646
14719,65969,9985,7001,10509,29123
5999,58220,8386,4815,14236,16238
7420,94183,7901,2415,16179,1731
7629,68991,5176,12069,10928,6748
6995,65125,5965,15910,916,7053
12261,223223,5961,1793,21020,32998
6072,103031,5860,2995,3124,17409
5693,125060,3755,12698,4185,17168
5935,73123,7701,7481,10189,27609
13913,174743,5434,5090,17387,8622
10188,123599,5535,514,19465,39057
11686,135661,10400,3115,11726,5814
6255,88252,8918,6876,12335,37786
6064,94350,4892,15030,11193,25965
14373,83541,9043,3911,14715,42843
12532,95939,9210,11242,8723,35483
10673,172762,6613,6651,21009,10945
6249,18569,4844,10234,2080,27110
12141,68785,9198,2487,10539,54805
7706,81352,5729,13253,7734,15845
6756,86536,8096,10053,14282,46434
10379,207999,6327,2110,22513,13667
10648,95992,10764,3251,8352,12497
12755,148739,6806,735,20854,30666
5138,104362,7945,13342,10154,12241
13994,191823,4147,6088,20076,6401
6182,47235,9659,5527,8168,24188
4977,57846,8053,5705,12754,22455
10929,183079,7098,7324,21278,18522
12029,50842,5945,7275,18217,8562
6808,63892,9828,4340,16471,19708
12591,151744,10159,7177,15655,10883
5635,30388,4426,5501,4378,6897
5881,46190,8185,4028,14313,18594
5725,71230,4277,14474,5288,16481
7193,101380,4645,12330,771,23801
12203,63570,8663,9937,12054,22331
6525,36157,9076,10211,10293,42083
10167,31573,9338,820,15597,20172
10351,43056,9598,7217,15964,41600
5370,102724,6288,8983,3451,18010
12056,159165,4721,11037,18321,17756
12991,54769,10509,5971,9089,11188
5389,52255,4517,14613,5575,11369
13016,211578,5600,3349,18519,28530
5289,31566,9189,15246,16016,25349
13107,63437,9881,590,12880,25378
6676,36786,9863,13721,12329,34764
12846,111988,5400,6421,18956,31425
9553,75942,10556,11922,15234,42740
10608,114243,6325,3134,17560,40301
5065,94331,9524,8845,10070,22158
4624,62687,4418,8767,8932,45774
11738,112808,5016,11629,21358,13783
5101,68971,9096,4353,6533,22473
5346,117127,6132,11636,2935,7819
6431,58390,5456,12070,16764,27883
11875,84209,10145,6608,10840,18731
6044,77578,9355,6882,5778,6262
6774,27484,4415,1076,1529,11447
11573,50457,9716,7260,9879,17801
11528,107103,9953,12371,9243,18766
12503,100077,10307,10547,12266,13043
11077,206765,5659,10807,16787,25228
11337,160454,6334,1017,17821,31093
12366,138534,3823,4797,15780,15009
5520,17423,8390,10180,14026,28587
10711,101889,6539,4553,11746,32408
14300,48065,7597,8114,18728,16532
6808,54014,9586,12116,12248,18918
13425,90274,9978,3975,11551,6456
12343,55606,8597,2160,13743,20993
13014,26856,10806,11404,11472,30354
11425,73943,5781,1990,20170,10327
5014,134469,4586,11705,4256,30152
6121,86921,7913,2306,10591,39452
7626,91762,8971,9902,11876,6099
4038,22451,5632,10173,4535,32826
13071,59529,10125,6933,11515,6461
6591,136603,3585,7774,1525,8289
10854,85684,10411,4080,10047,4876
13211,121327,4895,7534,15892,12309
5408,46059,7464,7324,14943,22273
4408,48854,4869,15872,3331,14060
7555,53780,4641,13635,8226,16974
7876,57617,6744,15684,3945,34639
5948,32724,2447,9496,8180,18571
6386,80635,5522,7554,5478,35992
5832,58033,8874,4641,9926,13153
5929,36220,8236,6176,8922,26149
11754,136269,6543,6834,21280,11142
16162,99505,10030,11340,13127,28050
12156,130809,9683,7741,12884,23864
4453,103050,6756,8266,4480,11072
10788,104075,9435,8584,15268,14696
10954,42664,9202,4189,12322,3730
5079,24323,5746,10662,2880,26518
7094,69134,4959,14546,4923,19927
5811,63024,9400,7293,7990,51109
7342,63355,4425,10218,3675,22050
10756,204263,6875,6273,20000,14400
5642,70697,7947,6759,10410,34843
11088,136923,9253,8065,11882,35901
9486,121737,6799,5116,22369,8287
7351,156851,4691,10966,867,17504
5086,38914,9542,6820,10578,22506
13946,117771,6680,8338,19751,30380
5718,24208,8533,7922,14456,42505
11210,203315,5998,8925,21976,33406
10389,125363,10248,8079,11999,24461
13012,58899,8628,12208,11693,37539
12675,74648,10542,3106,12557,32385
13169,67696,11162,1531,13616,14672
13042,77066,5059,8064,16677,26609
11425,222455,7427,9257,20493,5484
7125,42134,4728,7340,1168,31265
10936,202370,5646,645,18963,35268
3945,76574,8512,4964,15980,19273
9067,111471,4899,4111,16953,37269
5328,72009,5477,11241,8739,54958
13285,87231,9891,504,10175,9659
8832,52786,5358,14803,9902,28201
13335,120860,9382,2203,11641,34803
11928,112477,9411,4354,15267,4443
10390,80185,10317,6534,14768,18722
11077,150169,10339,5233,11849,8816
7375,93925,4795,14346,1912,43279
5271,86563,6752,14032,4338,53035
5505,39751,7125,1675,8945,21463
11737,70700,9494,3452,14570,43188
13594,127625,9683,878,10722,52146
5660,97905,4546,13529,4096,34847
10799,26830,8347,4007,11672,14737
11452,79488,11175,1881,14968,27703
11072,134564,7540,4396,18476,5524
6087,26203,9703,3404,12972,16935
11856,232810,5228,2307,21117,15558
12151,106131,10257,5407,15563,27884
11593,138046,5245,9586,18087,8141
5267,12177,3579,15734,1633,15798
9203,45762,7650,10349,14019,45868
12508,100830,9960,4544,13251,8985
13218,141923,11713,5102,11568,24145
4503,27544,8093,11985,10519,18809
3447,80626,9611,8965,8300,35904
11740,59709,10223,6935,9633,4593
6893,62589,8926,11185,17020,28358
8746,92817,5676,6141,8371,15952
7939,70245,6721,7715,6214,27793
4990,48665,5548,10122,4603,7110
5253,62831,5778,3590,5511,13553
4338,69906,5076,6854,2275,28539
12042,107715,10992,8682,14046,3699
5186,75884,5541,4805,3757,20299
13415,88987,10986,8084,12013,7877
11904,47543,10762,7833,14466,23129
4138,65020,9504,4832,12791,13532
6028,63166,4711,15279,8482,33572
12465,25356,9753,2081,12044,30830
5597,32900,8160,10723,10679,6319
9535,106644,6884,5258,21085,63313
4579,57052,9738,6780,11517,38865
10964,118013,10090,1775,9996,12495
5950,69124,4429,7658,2140,15462
10110,151804,8846,3429,6553,2435
13995,40907,9706,4436,14103,19473
7184,89101,9074,10839,16460,6877
12696,138855,10349,11087,8821,12139
5145,42450,8806,9816,15435,21069
5597,65713,8158,8013,10853,35570
3952,60891,9337,14735,7025,16520
7218,64768,8450,9022,13551,7994
11362,77799,10253,2808,16738,12365
11514,111783,11234,3331,15444,31805
12316,65387,6988,7336,19055,16780
11561,166003,4967,5354,21453,25852
10921,114445,8699,3355,13583,43477
13505,143470,12061,1980,11923,15585
5246,12440,10086,10055,13153,32492
3394,43037,8696,6172,16594,21226
8485,51306,7888,5548,6527,15373
9988,137835,6990,8701,16792,30506
13122,15768,9702,5516,14205,16955
6431,155254,4879,8726,1972,22839
8056,62115,9373,8023,13923,8985
5979,88245,5598,14917,7811,25519
11287,107566,8840,5686,12650,6027
7800,65491,10636,13130,13582,16370
9920,187793,5361,1329,17797,52261
11241,187910,5581,1806,19477,34306
5795,156720,4673,7551,8518,27915
12802,149745,6304,5957,19153,16452
8511,33314,3840,4171,9217,27256
6115,64308,9960,15125,10949,43420
11162,164512,5114,1159,18082,36278
4509,39993,8084,6874,15900,18339
5285,29392,8740,11526,11941,26293
8056,62301,6851,4809,2167,7422
10354,103097,10221,3353,15357,23895
6788,43647,8406,5401,9654,29045
11749,41274,10355,7516,8385,14845
12727,198952,6526,3568,17308,12204
7840,28005,4708,5757,2481,5469
6110,35897,8021,8125,9118,8909
11918,41138,10132,12973,13686,6988
6353,50380,8490,2750,11527,36550
13235,155669,7088,6838,15225,20995
9284,177159,7050,3561,19552,9543
6139,66820,5831,13191,1628,44714
7195,27216,8192,8232,8910,25381
10335,55845,10189,3399,6450,19839
6345,77605,7270,3383,7551,23163
10703,176697,7544,10790,21795,29777
12176,179376,5895,2187,18217,36582
3483,113069,4577,8741,7009,11866
10836,68990,8525,7618,4262,15685
14815,27659,8843,4888,10071,20342
5981,61646,4949,14850,4085,15386
6415,51480,4402,10722,6105,40961
11314,131054,9065,2279,13042,41602
12373,224758,4545,2531,16921,11827
5133,77205,4613,5110,5629,23618
4078,105266,6632,14686,8514,13710
4292,82948,9331,10567,10648,19525
11117,193583,5971,7229,11496,17620
6637,35227,9152,9779,12165,8482
7242,28228,11006,4860,8919,29968
11619,52331,8416,872,13388,17518
9844,129916,4654,8456,19072,16696
13018,174345,5038,5219,22227,16796
6594,55775,10257,14148,12807,14917
6504,38036,9563,10866,17078,20660
5911,43278,9951,5117,16170,47596
4753,70731,7916,6949,15059,10223
6519,90811,4889,13846,1536,25057
11495,188973,6806,1319,21096,20323
6129,30833,9135,11506,11431,22418
11899,151237,10614,922,13240,3985
13282,77153,11859,4216,10267,54201
12623,120107,7465,7313,22855,24604
11295,144787,6108,1419,17635,27670
13851,190292,6443,8576,20236,14678
11437,109964,10069,1945,11576,13097
5601,29238,5834,15264,1497,29563
13808,88478,11454,4736,7267,17181
12390,33666,9522,1987,6615,25002
5933,50892,9399,1707,11484,30565
6408,105303,8291,12793,9362,13676
6421,33667,6205,5124,6374,16671
12027,121484,10222,14635,12665,34556
13503,135748,8973,7676,11396,13902
4282,86105,9715,11813,5607,16819
11412,60780,10196,6302,9766,31293
5975,43901,9242,8272,8802,15155
13423,29828,8123,2412,16461,17182
13644,82191,9543,4032,12663,16367
11769,88373,6285,6125,21068,45074
12375,166200,6139,2416,20973,23468
8867,70577,6206,12235,13072,18266
4930,73238,10787,4628,12706,44640
10501,55602,6179,10606,20223,19079
11885,100552,9881,2835,8137,19645
10738,127601,9474,2468,13274,41685
6061,13059,2379,11611,8947,12811
12203,118921,4604,6153,20155,17368
13011,58213,11587,8549,8093,50192
5865,63009,10081,2922,11168,33823
12183,103969,11224,7374,12405,15757
9976,86106,9571,6719,9692,11316
12831,169203,7920,5968,21350,26806
6244,98098,6562,9983,5896,11076
4932,70778,9310,9308,14586,24256
4285,58811,7518,3826,11684,22778
11468,91772,5823,10480,19807,18922
12679,94874,12141,3392,10099,40268
5743,13112,5371,15355,4271,24931
12404,86097,6884,5162,16824,35645
7464,75206,9699,6310,12043,13650
13468,130884,6279,4901,20744,19926
12225,79353,10320,8887,12881,3273
12951,213453,5975,9414,18279,18928
10989,173016,7477,10194,20251,24306
5842,55942,8583,7218,16006,20097
4770,83429,4932,14311,1088,41453
5222,53653,4929,14945,5166,15270
6577,52196,8923,6006,5208,42025
10414,197177,5358,2545,17607,35366
12897,54573,10089,6909,13183,60938
11681,91560,9655,13717,15122,8596
6260,69148,7588,6187,12653,38023
11451,78682,9082,11814,12685,15428
11954,98970,10569,2509,12455,12743
13212,132238,5837,5418,15744,46401
12089,231949,4706,5663,21108,40051
10651,112708,5811,3216,18877,5775
6817,46931,10662,4889,11426,38193
4987,15174,5364,11347,8500,2733
11467,99358,6442,5635,17257,17610
8217,58075,11201,1992,10893,40940
12323,72141,10962,2901,11473,17279
14549,157768,10074,9987,16726,32643
4592,140350,6046,6441,3402,48964
12812,67419,10285,6925,7502,24134
3967,20981,8509,13631,7131,2122
12193,142140,6460,5911,21357,3507
6034,45423,9183,9316,18083,6450
7092,98222,8970,13245,14553,39692
4035,60952,7408,6777,14418,22069
13327,30208,10012,1626,10006,6386
13207,77681,7068,11556,18910,20425
11116,113420,4855,2257,13451,16967
4509,53074,8996,8849,14406,24575
6775,37015,5269,11803,14887,3580
10786,173553,6213,6315,15019,39143
7689,37796,9222,14553,14768,23298
5853,91113,5359,1616,8469,10917
10325,68923,9667,6570,16370,9014
12948,79905,11377,7134,6122,31695
11116,123533,11004,7485,9325,16100
12564,94668,10428,5135,7689,30134
11719,206273,4827,4304,18689,16021
4176,55955,9514,3279,8840,19999
11116,154536,9572,1095,11135,25964
12018,94109,8825,7706,9576,27596
11598,103720,5771,3945,21223,33687
11410,63843,10263,14659,12827,25332
6867,51159,9502,6069,11352,36410
11432,38223,9579,7127,13976,13688
9517,174984,7126,9704,19227,27237
6386,18999,6786,13901,691,47325
11768,58434,9410,12713,7860,30796
13338,97759,10631,10752,7848,44966
9213,58921,9194,5604,10366,16871
6740,45732,3560,10397,7137,2783
7071,121999,4328,8122,2880,24313
6618,60003,8739,2757,9501,21338
5739,61169,8661,2568,12453,29640
2896,52318,9957,5906,13029,15308
6779,27056,4912,9511,4670,6503
13276,107344,7013,7912,19435,35614
12114,138190,9316,2449,11721,28658
5649,48430,9335,13541,13433,21164
5569,41935,9369,7856,11145,13933
10248,66956,11270,2109,10478,25654
5432,41117,8975,2094,13554,42904
12144,62771,10567,5183,9503,6172
5764,37237,9380,5674,11712,8177
4960,111506,3235,5221,5197,41140
11852,184248,7226,10402,16187,9939
4305,50507,8406,670,13754,22095
11947,186820,4894,7424,18809,16989
13063,56964,9074,7670,11743,53737
6152,24831,10135,9617,10787,17195
11372,94531,9708,5051,10598,12297
11367,39461,9316,10243,7013,29496
7651,123834,4710,13033,9964,38582
6296,45646,4553,11707,4756,15468
12136,86559,10286,5108,13423,8474
7243,127612,4137,13227,2104,18774
12726,65862,10138,2647,12635,33150
13278,214002,5590,8426,14829,25440
5103,74223,7962,12737,12188,14932
13478,77347,10052,10928,17272,34927
7550,38457,9449,6466,15206,16478
13747,121682,11327,3921,13823,18935
6601,168590,5006,14173,525,43978
11267,103581,5295,7197,17402,9282
13818,95007,10116,11303,10709,28649
12046,149553,10998,1434,17634,31224
6502,131673,6067,3692,9445,14193
5393,86656,5060,14036,8225,5019
3249,50672,4649,15282,5311,56688
13832,149990,9735,9044,12009,17046
12875,60104,9257,5507,13751,7619
13646,207411,6271,248,17312,32054
10062,77461,9732,4455,12623,34261
4594,40883,3493,15030,5377,45434
7515,59848,9508,6544,6004,23186
11384,53330,9750,1632,15171,19541
13167,179589,4600,3719,20196,22232
11561,112262,5425,9400,18477,25380
6185,92319,6068,10554,5094,17921
12210,36619,6549,3727,18665,36172
5074,42794,8768,2146,7517,6927
11617,64338,6121,5326,20268,45998
5874,72225,8787,3327,16759,16038
10231,122735,10370,3623,14449,13387
5028,48351,9435,5684,8014,25192
12220,77465,10247,1423,7536,39061
12196,71006,5351,9289,19010,25048
5463,86335,5972,14181,6841,5291
6162,73033,8050,8593,11694,24869
5413,52788,8156,8708,17356,31360
6145,62198,5059,10104,2275,13528
7419,51260,4163,6975,11127,26321
10628,103511,10183,4449,11597,42228
9708,101350,9291,11846,11615,9936
11436,119868,8359,3340,11796,16547
13707,56856,10548,6401,17058,12841
5201,80676,9210,4539,10306,32952
13125,54962,10459,4275,10322,9110
11169,161811,5434,5100,20311,25413
14348,219062,5991,7510,15693,28792
5387,92440,5018,13328,5458,9775
11624,191802,7645,5491,22348,26956
12014,120267,9423,5642,11620,34311
6313,81174,6612,9186,1613,29696
12435,132548,10024,8983,11800,7361
5390,94337,8891,11800,8494,39616
5015,61966,9527,9636,14586,7150
7746,128856,4852,4792,3333,28665
11187,182051,6069,5570,13816,36289
11477,151990,5978,2963,15430,38184
6494,59108,5249,14211,4730,8730
10751,65304,5411,9884,17413,7050
8808,44721,4599,5175,6714,31955
10961,124636,6021,6912,20215,21224
3260,51256,5506,9081,5312,21258
12777,113658,11048,4446,14452,6123
5230,9394,5235,12061,11718,14580
10900,109127,9642,6778,15007,67334
4440,13645,8591,4249,13126,19155
12778,76567,8846,7245,6604,45689
13071,130177,6355,4103,18069,33636
8394,59293,5239,13417,6320,27804
5740,86300,3133,13455,1533,18135
11835,40167,11390,2557,13124,3176
9739,91668,6183,4910,18123,16546
11350,11908,9598,3517,17059,21929
10517,153185,5908,9940,16949,19379
13030,119476,9710,5838,7187,28492
12802,208564,6305,5695,14199,33503
12804,85994,9104,9708,14987,21664
13233,54649,10248,7134,10444,18076
13206,42078,5244,8045,22158,21995
10910,17299,10153,2739,13430,12042
12798,124861,7564,5034,6118,46452
6397,102187,5615,8947,3552,31732
10674,192209,5224,6886,20366,33998
13719,183769,6554,10146,17267,41256
5772,47108,4114,12877,11874,10992
9801,60703,10305,2812,10421,48467
5333,76492,7049,3792,13885,21719
12214,60955,10053,6507,11913,35049
11622,79961,12275,7584,16320,11526
6656,65828,9770,8501,14596,27952
4909,115778,3530,9245,5585,17087
6758,67278,9430,10437,16044,8931
12294,120119,8617,1997,18771,11724
7563,45817,10235,11442,12211,37728
12048,90440,6145,3708,15898,19607
7718,95036,5669,13410,8095,23883
12440,103137,10609,10913,12636,10558
8355,99108,4826,2706,4462,32060
5512,51977,5675,4828,4321,22359
13690,82948,6388,7979,20180,10479
13360,149793,7377,3256,18161,43164
11447,185995,6917,7647,17337,20482
5495,51400,9314,5836,15747,22360
4396,33505,9329,9701,12594,2841
6685,93069,11299,6720,5668,31231
12643,101021,8622,11766,11753,44096
7129,78175,3661,15959,5902,23044
6665,78184,8241,12870,9047,39516
6698,57236,8695,6729,13430,1402
7223,62876,9063,8599,7781,27636
5980,93783,8009,5684,13023,3624
13812,25671,10382,2787,11785,61964
12621,94026,9891,11392,12721,54034
7451,48842,9547,4096,12036,35595
6316,68982,4947,4387,7461,4707
10484,113797,7095,6664,16891,9761
5769,69978,8787,6729,12650,15518
6052,34359,5175,9894,2240,25895
6191,61474,3962,10189,5182,26410
5961,65185,8330,8545,14023,19058
6326,44111,4321,12973,3302,62684
10991,218116,6710,6513,18599,21882
11890,201126,5438,6945,18663,31840
4171,64630,11152,4730,16123,18802
3999,50135,7750,8358,12925,14119
13439,94792,9413,9428,12579,26044
13079,140627,6729,5849,19557,9692
4682,44152,8260,17507,5101,44524
9763,166389,5234,7455,21198,24840
11021,160893,6239,9483,12620,31108
6430,64266,9512,11357,8028,11487
4703,69364,6080,9894,4821,47673
8206,68825,9405,6196,11806,48468
12430,70830,6363,5141,15195,24206
13321,183255,5965,9433,14493,38834
12783,83948,10007,3267,5554,22375
5034,147550,5492,14954,1649,21693
5538,79893,4847,12825,2569,1290
5022,52664,8088,9058,14288,27170
12870,151597,6690,5366,16835,24184
11299,88792,10796,2536,16509,1886
6152,12823,10395,10429,9098,5347
14325,95631,10278,4560,9234,18958
4543,32248,7258,13203,10999,12168
12182,125193,6907,8452,14389,22366
12075,85850,10989,5651,8804,29663
12656,67172,10677,12568,13081,24844
5575,25835,6565,9503,3680,10929
12731,166922,5747,5308,21924,10134
7154,112176,5056,7284,1741,10922
5703,136819,6324,6108,4268,3517
12315,125425,10574,5946,9861,23569
13746,197711,6269,4150,12684,18996
6171,35778,9132,9507,13569,28378
9571,211663,5261,2332,12209,11582
5797,101433,4773,8808,11207,25475
11953,98180,10134,4434,16744,26869
4877,118193,4972,9838,4704,5872
5665,83581,8064,12199,9026,7781
7734,67401,9843,6474,13303,11248
14374,106483,8333,6838,8913,25364
6153,40329,5730,14717,4665,6370
11586,120744,9493,9029,16127,18075
10176,225183,5316,5788,16892,16815
4843,53886,5379,10094,4312,40709
5709,35230,9013,9882,10139,9381
5280,123666,3187,3522,6805,3190
11933,74324,5995,7017,16161,21153
6532,78884,6140,12428,2000,15191
6205,40515,4486,13003,2045,33063
12599,76170,9548,5763,8172,22797
12994,86396,9655,15784,6730,18435
6203,21951,8684,4271,14675,23608
4998,36547,8810,8303,12115,37933
12667,147909,6318,7782,12889,30221
6862,24247,8642,8599,12306,3688
12131,170201,6417,7971,21575,10642
6108,57639,5534,15177,5751,10961
13019,200809,6459,4091,16371,21116
4471,112140,5674,13947,4357,24770
3539,23695,6334,5776,5452,33998
5612,93791,3828,15357,6000,30809
7110,124865,4219,6181,5899,21334
3816,52941,7815,5883,11604,22230
4563,28436,5537,7840,4661,7370
12812,74376,9469,2883,14151,5461
6405,86282,9088,2045,10878,29940
11870,131921,11145,7544,12256,3609
10760,218946,6154,5937,21618,14738
6158,67067,8385,9990,9617,25063
10911,82963,8213,7886,14753,29113
11370,49897,11195,5634,11444,19538
5075,49476,4827,2402,3253,26117
13332,126765,6777,4589,14441,26953
3932,83577,4178,11630,10738,26211
6000,99405,6632,15030,5294,38148
12080,108464,4101,5794,18730,13991
8027,60762,9415,3879,8652,9314
7075,86017,9064,6047,15242,39567
7459,33819,7965,4867,13079,31030
4580,69914,8148,13714,13420,19521
7989,81178,8759,9014,15601,34572
11743,162398,5589,2515,22527,49517
7590,24308,4110,12357,4053,20167
11967,200152,6983,4792,14314,14151
6258,114750,4874,14180,3908,16210
6204,25464,4595,13443,3626,24579
7704,69711,7580,8031,12888,36305
10796,29970,10859,13086,7366,8810
4975,45329,9335,6616,16230,35368
13914,135241,9168,12645,7869,32382
6435,65518,5372,12026,6354,33804
11564,177731,5089,1802,18023,17083
12296,91967,10523,4958,4622,6906
6328,45241,8040,2284,13231,43710
6311,38501,4841,11127,5380,22279
11257,164955,5914,11489,20342,32827
7679,64606,8347,5746,11917,15125
7158,31023,4084,7696,3303,10859
5955,27960,5464,11615,1472,25015
