"id","group","hs.grad","nation","gender","age","m.status","political","n.child","income","food","housing","other","score","Pol","time1","time2","time3","scr"
20,"control","no","Asia","female",30,"married","Conservative",2,38516.396324557,0.28,0.08,0.64,0.97,1.33973219123873,0.14,NA,0.130534395399442,0.369202986331103
21,"control","no","North America","male",53,"divorced","Conservative",0,77125.8419595679,0.25,0.16,0.59,0.17,1.90951215283666,0.05,-3.7,0.0540343320550577,0.698478406637666
22,"control","no","Europe","female",61,"never","Liberal",0,11000,0.75,0.09,0.16,1.72,0.270550617976793,0.38,NA,0.39315863703423,0.9201828381322
23,"control","no","Europe","undis",48,"married","New_Democrat",1,65673.6703082637,0.25,0.02,0.73,-0.11,1.14600357712634,0.14,NA,0.130989736920841,1.00968798645749
24,"treat","no","North America","male",51,"never","Other",3,106000,0.09,0.33,0.58,1.26,3.55867992767274,0.2,NA,0.190999462660487,1.30768625193483
25,"treat","no","Asia","undis",45,"married","New_Democrat",0,35053.6734417942,0.92,0.07,0.01,0.07,3.48786406051587,0.05,NA,0.0427421782735439,0.591981870362515
26,"treat","yes","North America","female",52,"never","Other",0,1e+05,0.86,0.05,0.09,-0.29,1.24475337626556,0.31,NA,0.308073338785467,2.1200780087277
27,"treat","no","Asia","female",21,"divorced","Conservative",0,133892.499469181,0.71,0.08,0.21,0.67,3.32548644211097,0.07,NA,0.0745690948296919,1.99021794350334
28,"control","yes","North America","undis",62,"divorced","Conservative",1,11124.413076575,0.36,0.18,0.46,-0.35,0.357442256751535,0.03,NA,0.0297497227054375,-0.52026176644942
29,"treat","no","North America","male",19,"divorced","Liberal",1,50944.6834416118,0.22,0.77,0.01,0.66,2.89516561137891,1,NA,1.00018790118532,2.17566569221106
30,"control","no","Southern","undis",35,"never","Liberal",0,64000,0.49,0.21,0.3,-0.94,-0.185234910617082,0.21,NA,0.22624091451827,0.832964417449299
31,"control","yes","Asia","undis",54,"divorced","Other",2,0,0.35,0.32,0.33,1.51,-0.169446904265703,0.01,NA,0.00318088399380728,1.46667155058438
32,"control","no","Asia","female",18,"married","Other",0,122262.976492102,0.47,0.18,0.35,1.23,0.592897768260196,0.44,NA,0.440551802085085,1.81173318096956
33,"control","yes","Europe","male",58,"married","Liberal",1,80771.6417978946,0.98,0.02,0,0.05,-0.157278335949632,0.6,NA,0.61023888141109,0.211678015292958
34,"treat","yes","North America","undis",57,"divorced","New_Democrat",1,5364.9604194765,0.96,0.03,0.01,-0.81,1.89405440859319,0.16,NA,0.138034619845203,0.879562057108099
35,"control","no","Asia","female",18,"divorced","Conservative",2,23712.3980928805,0.14,0.17,0.69,-0.46,0.893897540040611,0.17,NA,0.162246443922415,0.77268666569633
36,"treat","no","Asia","undis",34,"divorced","Conservative",3,95782.0997498575,0.53,0.02,0.45,0.45,3.42480895558638,0.95,NA,0.955896870526399,1.48233012827646
37,"control","no","Asia","undis",65,"married","Conservative",1,148961.104517991,0.69,0.2,0.11,1.81,1.68077453459435,0.59,NA,0.570021476882959,2.97325759329699
38,"control","no","Asia","female",51,"divorced","Conservative",0,128334.921789723,0.83,0.12,0.05,-1.6,0.888718586697448,0.92,NA,0.919493437914264,0.463644966906698
39,"treat","yes","North America","male",27,"never","Conservative",4,1000,0.84,0.14,0.02,-0.42,2.66451447980991,0.05,NA,0.0311004163877423,-0.116827509080003
40,"control","yes","Southern","male",26,"divorced","New_Democrat",1,85188.8306794043,0.3,0.41,0.29,-0.78,1.1076063607809,0.12,NA,0.130461817033992,0.352212549646403
41,"control","no","Europe","male",23,"never","Liberal",1,134000,0.89,0.01,0.1,-0.12,0.406084272893606,0.94,NA,0.943631475598996,1.08392312036816
42,"control","yes","North America","female",55,"never","Conservative",0,10000,0.89,0.05,0.06,1.66,0.468910560211435,0.94,NA,0.946841330084827,0.739532715297954
43,"treat","no","North America","undis",18,"widowed","Liberal",4,54049.343003752,0.35,0.49,0.16,0.61,1.52254687500124,0.88,NA,0.878401167911039,0.743830522430646
44,"treat","yes","North America","male",28,"never","Liberal",2,74000,0.34,0.54,0.12,-1.15,1.59951410655945,0.96,NA,0.969351646943946,0.183214237401347
45,"treat","yes","North America","undis",57,"divorced","Conservative",3,85231.96126535,0.2,0.75,0.05,2.04,2.1310789724784,0.6,NA,0.610730201342517,-0.120979757483509
46,"control","yes","North America","male",54,"never","Liberal",4,36000,0.39,0.61,0,3.05,0.298352721847433,0.12,NA,0.125323557141473,1.25027103734499
47,"treat","no","North America","male",61,"married","Other",1,71276.3324729349,0.65,0.17,0.18,0.59,3.21605066675969,0.35,NA,0.352026074041044,1.24175313605109
48,"control","no","Europe","female",25,"married","New_Democrat",1,157252.139325703,0.35,0.03,0.62,1.46,1.24578985784929,0,NA,-0.02766770492134,1.49671400020424
49,"control","no","Southern","female",58,"never","Conservative",1,11000,0.24,0.4,0.36,1.66,1.2853912085338,0.62,NA,0.635416196878515,0.851208040974328
50,"control","yes","Asia","male",37,"never","New_Democrat",2,141000,0.83,0.01,0.16,0.14,1.39235213264969,0.39,NA,0.404506661340643,1.61856512830809
51,"treat","yes","North America","male",59,"married","Conservative",1,74816.7541209778,0.14,0.52,0.34,-1.72,2.91932227996245,0.72,NA,0.706303721895972,0.48330322214331
52,"control","no","North America","male",46,"widowed","Liberal",0,24796.9942786673,0.32,0.02,0.66,-1.1,0.598386475322984,0.09,NA,0.0967240193929808,1.19469584527335
53,"control","yes","North America","male",45,"divorced","Other",2,107688.347557643,0.16,0.23,0.61,-0.19,-0.0238036541319083,0.02,NA,0.0206007205626982,1.46127783881523
54,"treat","yes","Asia","male",57,"married","Other",3,43320.0458023193,0.34,0.3,0.36,0.59,2.85351631217291,0.4,NA,0.407223367381584,1.07526421708994
55,"treat","no","North America","male",42,"never","Conservative",0,90000,0.92,0.06,0.02,-0.76,3.99746638537364,0.03,NA,0.0298280183057156,1.15735860853031
56,"treat","no","Asia","male",54,"divorced","Conservative",0,56383.1584721524,0.8,0.11,0.09,0.12,4.19048939087996,0.92,NA,0.923321291490263,0.771273861042707
57,"treat","no","North America","male",18,"married","Conservative",1,105464.414791545,0.05,0.2,0.75,1.33,4.41376699529982,0.01,NA,-0.00217497534690307,0.983942858611262
58,"treat","no","North America","undis",35,"divorced","Liberal",1,18765.322711109,0.29,0.06,0.65,-0.23,1.91902063322701,0.19,NA,0.207893667327552,0.515642874756693
59,"control","no","North America","male",60,"widowed","New_Democrat",0,111526.648445748,0.17,0,0.83,-0.09,2.48785784247611,0,NA,0.00964356549497203,1.80523415236078
60,"control","yes","North America","female",48,"divorced","Liberal",1,16217.4850636512,0.13,0.49,0.38,-0.02,-0.985370328274315,0.92,NA,0.917214197120869,0.375489024514893
61,"control","yes","North America","female",51,"widowed","Conservative",0,123764.841644383,0.84,0.02,0.14,0.29,0.266348290705112,0,NA,0.000665932967588469,0.758294192891465
62,"treat","no","Asia","male",26,"married","Liberal",1,145772.77021532,0.15,0.39,0.46,-0.58,2.87647093276969,0.47,NA,0.465323171882931,1.9525536217259
63,"treat","yes","Europe","male",50,"widowed","Liberal",4,69833.3408497952,0.67,0.02,0.31,-0.45,1.60342065750422,0.9,NA,0.898951136895186,0.254374937265169
64,"control","no","Southern","undis",47,"married","New_Democrat",2,67432.5777346009,0.36,0.21,0.43,-1.19,0.964755363003848,0.76,NA,0.757033121165225,0.756297718485679
65,"treat","no","Asia","female",54,"married","Conservative",0,149548.070615371,0.87,0.09,0.04,0.7,3.55106460624686,0.22,NA,0.2246103118791,1.22764763793655
66,"treat","no","North America","female",55,"married","Conservative",1,144487.305049601,0.54,0.25,0.21,-0.07,3.33787502818635,0.8,NA,0.80045301098441,1.64740320894089
67,"treat","yes","Asia","undis",20,"divorced","Other",1,37963.9901016484,0.77,0.22,0.01,2.38,0.54614528369316,0.5,NA,0.480540225580688,1.90511206904513
68,"control","no","Europe","undis",64,"widowed","Conservative",2,74603.7669243422,0.68,0.23,0.09,-0.86,0.979824540937927,0.74,4.1,0.750034997263591,0.374395236044868
69,"control","no","Southern","female",20,"never","New_Democrat",2,72000,0.2,0.73,0.07,-0.11,0.576615212129935,0.76,NA,0.775124238560289,0.784351024238593
70,"control","no","Asia","male",22,"divorced","Liberal",3,0,0.59,0.03,0.38,-0.99,1.02065688822238,0.52,NA,0.51917860737745,0.853694176902826
71,"treat","yes","Europe","female",38,"married","Other",2,114674.551983031,0.62,0.05,0.33,-1.4,1.21073842666271,0.83,NA,0.808107180992715,1.39715255675974
72,"treat","no","Asia","male",23,"never","Liberal",1,134000,0.48,0.08,0.44,-0.24,3.6061480952697,0.31,NA,0.304600825246083,0.364860928090802
73,"control","yes","Southern","female",29,"never","Liberal",0,120000,0.13,0.52,0.35,0.56,-0.891738901568787,0.97,NA,0.976948140307176,1.44653255504461
74,"control","yes","Southern","undis",62,"widowed","New_Democrat",0,138575.4211942,0.52,0.1,0.38,1.68,0.633917220636436,0.4,NA,0.402415198289777,1.08056118906457
75,"control","no","North America","male",43,"married","New_Democrat",4,64520.0475439645,0.75,0.23,0.02,0.15,2.28049175909413,0.15,NA,0.149395865792853,1.06854061497407
76,"treat","yes","North America","undis",64,"married","Liberal",1,101266.037405575,0.55,0.43,0.02,0.57,0.874184840678071,0.79,NA,0.786034571316167,1.48112847511932
77,"treat","no","Southern","male",59,"never","Conservative",2,19000,0.25,0,0.75,-1.18,4.03712812101949,0.84,NA,0.831141202949105,0.607480609335912
78,"control","yes","Asia","female",43,"divorced","Liberal",1,142307.993772434,0.54,0.06,0.4,2.01,-0.533611046286992,0.98,NA,0.967717672560619,2.32490930292888
79,"treat","no","Asia","male",22,"divorced","Conservative",0,82928.6226973002,0.91,0,0.09,-0.98,4.26237168506628,0.31,NA,0.317530758586128,0.574447790750556
80,"control","no","Southern","male",43,"divorced","Conservative",2,48880.6994557375,0.23,0.31,0.46,-0.14,2.42627075207581,0.6,NA,0.597726657123628,0.553837349764751
81,"treat","no","Europe","female",60,"divorced","Liberal",0,134887.382651344,0.55,0.19,0.26,0.46,2.35170503729172,0.74,NA,0.742024506627975,2.25434107167321
82,"control","no","North America","undis",39,"married","Conservative",0,92598.7876562283,0.7,0.17,0.13,0.4,1.1570887469509,0.44,-1.71,0.433449196281688,1.15160426250128
83,"treat","no","Southern","undis",55,"widowed","Conservative",0,135087.229793966,0.85,0.07,0.08,1.83,3.19967648647109,0.29,NA,0.284224938852663,2.17889711248978
84,"control","no","North America","male",50,"married","Other",2,125172.77156134,0.83,0.16,0.01,0.89,1.63377044201701,0.67,NA,0.673253746395285,1.23394848857738
85,"control","yes","North America","undis",38,"never","Liberal",3,140000,0.69,0.12,0.19,-0.42,-0.895699012795599,0.29,NA,0.295431130812738,1.52157394792863
86,"control","yes","North America","female",28,"never","Conservative",1,73000,0.77,0.01,0.22,-0.14,-0.0265216231947625,0,NA,0.0025416896452339,0.801276628597607
87,"control","no","Europe","female",45,"married","Conservative",1,75352.6560176209,0.75,0.04,0.21,-1.39,0.636110500551761,0.74,NA,0.748092982974987,0.262432247962282
88,"control","no","Asia","undis",43,"married","Conservative",1,75617.1562801645,1,0,0,-0.26,1.02652847952579,0.63,NA,0.623848090023314,1.03865084700553
89,"control","no","Europe","male",46,"married","Liberal",3,159743.890846047,0.13,0.45,0.42,1.39,0.788302662067144,0.48,NA,0.477324215853582,0.782770835292524
90,"treat","no","Asia","female",46,"married","Liberal",0,137640.876502138,0.08,0.91,0.01,0.69,2.19221131162147,0.23,NA,0.229397366441038,1.92181451195757
91,"control","no","North America","male",45,"married","Conservative",1,73665.4602371906,0.53,0.08,0.39,0.37,2.37494048933411,0.96,NA,0.966907968493924,1.1753382675427
92,"control","no","North America","male",37,"divorced","Liberal",4,82639.0041066669,0.17,0.32,0.51,1.33,1.36082374561515,0.63,NA,0.64146175411778,1.67215256890904
93,"control","no","Southern","male",63,"divorced","Other",1,124570.833119408,0.15,0.55,0.3,0.06,1.84005083686467,0.87,NA,0.878219782106303,1.57634777228505
94,"treat","yes","North America","male",21,"divorced","Conservative",3,51904.2698905527,0.52,0.47,0.01,0.31,3.69235488884134,0.3,NA,0.305496046645282,1.59107944916884
95,"control","no","North America","female",36,"never","Conservative",1,85000,0.51,0.48,0.01,0.86,1.0067068321488,0.95,NA,0.951356478562235,1.16565748388249
96,"control","no","Asia","undis",23,"divorced","Conservative",1,96290.7588559162,0.89,0,0.11,0.6,0.815938023087693,0.73,NA,0.742498529466511,1.84926095885207
97,"treat","yes","North America","undis",53,"married","Other",0,125282.380443334,0.92,0.04,0.04,-0.04,1.52293150636998,1,NA,0.991724508759213,0.790439159474553
98,"control","yes","North America","male",38,"divorced","Liberal",1,139256.243943871,0.96,0.01,0.03,0.82,0.451406766520329,0.01,NA,-0.00458303244612262,1.76151858483853
99,"treat","no","Asia","male",27,"widowed","Conservative",3,126530.547742471,0.44,0.42,0.14,-0.71,4.03633742672467,0.49,NA,0.490395894468383,1.44530056115926
100,"treat","no","Asia","male",62,"married","Conservative",4,148812.714392329,0.02,0.98,0,1.47,4.68580573633023,0,NA,-0.0135978960445059,2.60377458559445
101,"control","yes","Asia","female",26,"married","Liberal",0,62121.8427442007,0.28,0.45,0.27,-1.13,-1.5906059599858,0.46,NA,0.463001135303803,0.757040692930957
102,"treat","no","Asia","male",42,"divorced","Conservative",1,88827.2966567311,0.77,0.11,0.12,-0.22,4.11089137856288,0.76,NA,0.764320621020591,1.43046150896035
103,"control","yes","Asia","female",31,"married","Conservative",3,70484.0564596085,0.1,0.03,0.87,-0.82,-0.096202971443299,0.8,NA,0.800199548447407,1.03984964359166
104,"treat","no","Asia","female",19,"divorced","Conservative",3,71377.1622754724,0.26,0.41,0.33,1.17,3.04353763392391,0.36,NA,0.369835165754383,1.9419475494705
105,"control","yes","Asia","female",29,"divorced","Other",2,47568.6335384891,0.39,0.44,0.17,-0.42,-0.744231751617052,0.71,NA,0.703248657215807,0.644308471605185
106,"control","no","Asia","male",20,"married","Liberal",1,145629.681574418,0.91,0.02,0.07,0.57,1.22789063982953,0.67,NA,0.682404553663699,1.53869143363721
107,"control","no","Southern","undis",20,"divorced","Liberal",4,22579.1234070286,0.51,0.15,0.34,1.07,-0.00461060812663372,0.25,NA,0.247719878510803,0.858470711596572
108,"control","yes","North America","undis",38,"never","New_Democrat",1,4000,0.56,0.29,0.15,-0.69,-0.0269102068732834,0,NA,0.0194459100682299,0.339338669699944
109,"control","no","Asia","female",53,"married","Liberal",4,161017.475889313,0.1,0.53,0.37,0.75,0.47355213935372,0.52,NA,0.517374232169392,2.42782076807851
110,"control","yes","North America","male",30,"divorced","Liberal",2,62217.4196412051,0.98,0.01,0.01,0.45,-0.133618534188613,0.9,NA,0.900242497121533,0.677965969479102
111,"control","no","Asia","undis",40,"divorced","New_Democrat",1,0,0.44,0.37,0.19,1.15,1.60691816892547,0.09,NA,0.0778255795345272,0.419208136352308
112,"treat","no","Asia","female",26,"never","New_Democrat",0,66000,0.73,0.19,0.08,1.24,2.65031441520318,0.58,NA,0.582125018181593,0.653294809420535
113,"treat","yes","Asia","undis",28,"divorced","Liberal",3,65302.6382858453,0.17,0.14,0.69,0.7,0.420890083076835,0.09,NA,0.103260862226045,1.09188874913862
114,"treat","yes","Asia","undis",53,"never","Conservative",0,87000,0.33,0.49,0.18,-0.15,1.88422990241599,0.5,NA,0.509513319249081,1.76883686210619
115,"treat","yes","North America","female",41,"divorced","New_Democrat",0,53882.8527572587,0.03,0.53,0.44,-1.85,1.58232872190038,0.65,NA,0.655012989863987,0.635688184488477
116,"treat","yes","Southern","male",47,"married","Liberal",1,103412.709602628,0.22,0.58,0.2,0.05,2.37511425247617,0.01,NA,0.0193302763363173,0.786155412879138
117,"treat","yes","Asia","male",43,"married","Liberal",1,110840.666553652,0.31,0.25,0.44,0.92,2.308099613593,0.82,NA,0.836515447117772,0.984504673399644
118,"treat","yes","North America","female",27,"married","New_Democrat",3,37001.108452195,0.72,0.07,0.21,-0.64,1.45769876738791,0.73,NA,0.734857770553362,0.00703411088229378
119,"treat","yes","North America","female",41,"divorced","Conservative",1,127685.849008802,0.96,0.04,0,1.18,2.28944901542684,0.35,NA,0.361111623957274,1.03978357290119
120,"control","yes","Asia","female",43,"divorced","Liberal",2,40599.2325612815,0.25,0.06,0.69,-0.25,-1.1546094649724,0.09,NA,0.107326921724819,1.48677326697619
121,"control","no","Asia","female",38,"married","Liberal",1,133155.289553276,0.71,0.03,0.26,-1.17,-0.121988360824313,0.56,NA,0.569419574127744,0.718924769514315
122,"control","no","North America","female",56,"widowed","Conservative",0,61619.24240751,0.37,0.51,0.12,-0.36,0.769282999705557,0.48,NA,0.483119968674658,0.826618838097688
123,"control","no","North America","undis",43,"divorced","Conservative",3,80324.8022554723,0.15,0.12,0.73,-0.15,0.978283008037155,0.87,NA,0.873192311028884,0.476684696545465
124,"treat","yes","North America","undis",59,"married","Other",1,159663.355311672,0.24,0.07,0.69,-0.82,1.15175439410391,0.12,NA,0.112981229912004,1.09374432240142
125,"control","yes","Europe","undis",39,"married","Conservative",1,87482.207991206,0.11,0.47,0.42,0.75,0.346566237242606,0.26,NA,0.241864862352711,1.63378990848705
126,"control","no","Southern","female",33,"divorced","Liberal",0,0,0.14,0.29,0.57,0.09,0.0757214302490514,0.24,NA,0.247296373979961,0.316065341793115
127,"treat","no","Asia","male",60,"never","Conservative",0,36000,0.22,0.23,0.55,-0.37,3.8767079338148,0.82,NA,0.831694832434251,1.56614946842546
128,"treat","no","Europe","undis",33,"never","Other",2,81000,0.77,0.15,0.08,-1.07,2.18620621233877,0,NA,-0.00256846788726623,1.43008065331525
129,"treat","no","Asia","female",28,"widowed","New_Democrat",1,138597.06235073,0.11,0.49,0.4,0.19,3.23963883690261,0.62,NA,0.615924525992915,1.07440803566504
130,"treat","yes","North America","male",43,"married","Liberal",0,75581.6951123766,0.18,0.81,0.01,0.59,2.01376909107981,0.93,NA,0.940620091030328,1.16683798739389
131,"control","no","Europe","female",47,"never","New_Democrat",0,29000,0.32,0.31,0.37,-0.46,0.887806208855984,0.15,NA,0.141788938839791,-0.102551743546934
132,"control","no","North America","undis",47,"married","Conservative",3,59548.0978913809,0.49,0.24,0.27,-0.34,0.986189764277738,0.96,NA,0.961125334825712,0.971458285457269
133,"treat","yes","North America","male",33,"never","New_Democrat",3,32000,0.09,0.36,0.55,-0.8,3.20834965253361,0.48,NA,0.489494266175148,0.79961769084449
134,"treat","yes","North America","undis",18,"divorced","Other",2,76079.834315254,0.11,0.32,0.57,-0.03,0.792852063685048,0.04,NA,0.0383769735538756,0.402050562586218
135,"control","no","Asia","male",56,"married","New_Democrat",0,118495.428135045,0.71,0.06,0.23,1.24,2.25418314996663,0.46,NA,0.455948843521987,1.7537545632764
136,"control","yes","North America","female",47,"widowed","Conservative",1,124609.860423766,0.96,0,0.04,0.06,-0.0313091272940287,0.45,NA,0.456737228592586,0.745458537425891
137,"control","no","Asia","female",36,"divorced","Conservative",1,31334.8415487066,0.41,0.25,0.34,-0.21,1.0820591036138,0.27,NA,0.269432669373067,-0.184690240989191
138,"treat","no","North America","female",49,"married","Conservative",2,107715.33501092,0.31,0.4,0.29,-0.25,3.18692153841425,0.94,NA,0.941534850437098,1.23837019868112
139,"control","yes","Europe","female",64,"married","Conservative",1,24537.3338020299,0.18,0.67,0.15,0.71,-0.161590615035375,0,NA,-0.00754194958656687,1.15978037364356
140,"treat","no","Asia","female",35,"married","Conservative",1,34499.7284310535,0.02,0.11,0.87,-0.34,2.97887778688426,0.85,2.29,0.865437983708681,0.451106245481071
141,"control","no","Asia","male",46,"never","Conservative",2,84000,0.99,0.01,0,0.09,2.16317504743449,0.05,NA,0.0683118475041034,1.06751377404496
142,"treat","no","Asia","undis",59,"married","Liberal",0,27294.5230273672,0.59,0.01,0.4,-0.23,1.9117265424713,0.39,NA,0.386728410364639,0.233401737325612
143,"treat","no","Asia","male",60,"never","Liberal",0,103000,0.07,0.07,0.86,-0.87,2.96518508805659,0.51,NA,0.523785916342309,1.21369547926321
144,"control","no","North America","female",45,"married","Liberal",2,156138.224510333,0.26,0.71,0.03,-0.16,0.0599761721585321,0.14,NA,0.136443794610107,1.40340536590435
145,"treat","yes","Asia","undis",24,"divorced","Conservative",3,87246.1161122355,1,0,0,-0.99,1.59339454723982,0.49,NA,0.476558937207464,1.50116022211467
146,"treat","yes","Asia","undis",33,"widowed","Conservative",3,56124.5003690904,0.8,0.09,0.11,-0.77,1.53860376743733,0.85,NA,0.834334160030762,0.485887794949949
147,"control","no","Asia","female",19,"married","Liberal",3,89524.4345906527,0.05,0.67,0.28,-0.95,-0.515376717609828,0.39,NA,0.391967818719396,0.105833939253387
148,"control","yes","North America","undis",37,"married","Liberal",1,58481.357639551,0.31,0.52,0.17,0.01,-1.46360322663958,0.15,NA,0.146713027913929,0.521529535009123
149,"control","yes","Europe","male",44,"never","New_Democrat",0,43000,0.6,0.37,0.03,-0.01,1.24483198413337,0.9,NA,0.912967683415224,-0.45946857377732
150,"treat","yes","Asia","female",31,"married","Other",0,112240.213870671,0.77,0.09,0.14,0.3,1.40162981416099,0.08,NA,0.0753636332236425,1.44573586082345
151,"control","yes","North America","male",57,"widowed","Other",0,49563.0579700743,0.29,0.42,0.29,-0.42,0.372117492764326,0.14,NA,0.13689380910334,0.724279520780266
152,"treat","no","Southern","male",59,"never","Liberal",0,12000,0.5,0.28,0.22,0.02,3.30249255886329,0.49,NA,0.473470562616229,1.09213265371954
153,"treat","yes","North America","male",37,"never","Other",2,52000,0.72,0.28,0,1.43,2.21900064373902,0.75,NA,0.738345253553498,1.730462321309
154,"treat","yes","Europe","undis",52,"never","Conservative",1,149000,0.09,0.6,0.31,-1.27,1.85894838239361,0.84,NA,0.845590464833919,0.902277147178214
155,"control","no","North America","undis",55,"married","Conservative",2,156168.503936506,0.28,0.25,0.47,-0.34,1.40558866389015,0.83,NA,0.839976166334818,1.05506259298525
156,"treat","no","Asia","male",44,"married","Liberal",3,158023.225926798,0.86,0.03,0.11,0.84,3.77027365970099,0.22,NA,0.206371465186901,2.13646396517903
157,"treat","yes","Asia","female",27,"divorced","Conservative",1,126304.89452466,0.9,0,0.1,-0.77,1.84243831933381,0.04,NA,0.0348973206220247,1.53876430265262
158,"control","no","Asia","female",32,"divorced","Liberal",0,62927.9659290738,0.22,0.22,0.56,0.42,-0.265476505849077,0.23,NA,0.225906290395687,1.77390114210191
159,"treat","yes","Southern","female",37,"married","Liberal",1,14988.7303285362,0.08,0.61,0.31,-0.07,0.696631036170922,0.01,NA,0.014667458371489,1.53755350433803
160,"control","yes","North America","female",25,"widowed","Liberal",2,153060.980667164,0.94,0.06,0,1.11,-1.00089666717725,0.04,NA,0.0470712177355538,1.44375621661285
161,"treat","yes","North America","undis",40,"widowed","New_Democrat",1,101481.502712194,0.5,0.25,0.25,0.78,1.5037056074151,0.7,NA,0.708147132050022,2.2333931314711
162,"treat","yes","Europe","female",21,"divorced","Liberal",2,1641.42181844617,0.74,0.04,0.22,-1.08,0.6532227859034,0.66,NA,0.659577191182907,0.378866505936407
163,"treat","no","Southern","male",26,"married","Conservative",6,117366.595132238,0.14,0.2,0.66,0.3,3.94222349271786,0.71,NA,0.718521059923308,0.990503956338207
164,"treat","yes","Asia","female",24,"never","Liberal",2,84000,0.88,0.05,0.07,0.27,0.881991427297479,0.79,NA,0.793605116220561,1.01141780579615
165,"treat","no","North America","female",19,"married","Other",1,57071.4356319922,0.51,0.05,0.44,0.24,2.05377361699951,0.71,NA,0.705937056303113,0.347799822697168
166,"treat","yes","Asia","undis",36,"widowed","Conservative",1,12977.8524453881,0.32,0.16,0.52,-0.94,1.96811752720916,0.61,NA,0.613192060590445,-0.136826665483881
167,"treat","no","North America","female",48,"married","Other",1,33347.4574914601,0.02,0.55,0.43,-0.69,2.23800548225899,0.89,NA,0.890354276216388,0.709881255338059
168,"control","no","North America","undis",29,"never","Liberal",1,101000,0.61,0.27,0.12,1.54,-0.568250574054205,0.44,NA,0.451661698775603,1.85354227163762
169,"treat","yes","Asia","female",29,"married","Conservative",1,131073.832385086,0.91,0.04,0.05,0.37,2.20358886147457,0.22,1.68,0.21162229326943,1.15373022845002
170,"treat","no","North America","female",34,"married","Liberal",1,123559.536638304,0.05,0.1,0.85,-2.23,1.7274605233279,0.37,NA,0.369282598297212,0.405646560110147
171,"control","yes","Asia","female",29,"never","Other",0,131000,0.29,0.04,0.67,-0.65,-0.796237661414397,0.01,NA,0.00069056318655791,0.923512196791246
172,"treat","no","Asia","female",32,"divorced","Liberal",2,88189.4531425791,0.2,0.38,0.42,-0.68,1.45022921225503,0.39,NA,0.409309056449146,0.879845759571002
