id,group,hs.grad,nation,gender,age,m.status,political,n.child,income,housing,food,other,score,scr,time1,time2,time3,Pol
22,control,no,Europe,female,46,married,Conservative,1,34135.41006,0.29,0.48,0.23,-0.78,1.318423067,0.23,2.03,1.3,0.840398568
23,treat,no,Asia,male,35,divorced,Conservative,2,98063.03216,0.73,0.11,0.16,-1.26,0.405422557,0.98,3.05,5.87,3.503986111
24,treat,no,Europe,male,37,divorced,Liberal,1,104608.3713,0.65,0.15,0.2,0.18,0.896306422,0.43,-0.09,0.76,2.603539154
25,control,yes,North America,male,33,married,New_Democrat,2,144829.9749,0.55,0.27,0.18,1.28,0.934868103,0.82,0.08,2.5,1.073900465
26,treat,yes,North America,female,50,divorced,New_Democrat,2,132377.0082,0.42,0.55,0.03,-1.2,1.159440784,0,4.14,0.19,2.42309904
27,treat,yes,North America,male,41,married,New_Democrat,3,39298.47102,0.88,0.05,0.07,-1.13,0.089033882,0.87,-0.44,2.31,3.096009934
28,control,yes,Asia,male,47,married,Conservative,2,74330.30415,0.07,0.66,0.27,-0.37,0.679162367,0.05,0.97,0.78,1.416741246
29,control,no,North America,female,46,married,New_Democrat,0,35889.83927,0.92,0.03,0.05,-1.54,0.251973347,0.72,0.58,4.48,1.003728589
30,control,no,North America,female,26,married,Liberal,1,45801.74859,0.16,0.8,0.04,-1.08,1.001989899,0.84,1.01,2.91,-0.147163322
31,treat,no,North America,female,44,married,Conservative,2,37641.31016,0.65,0.18,0.17,-0.26,0.905591058,0.16,-1.69,1.34,2.916202016
32,treat,yes,Europe,female,24,widowed,New_Democrat,3,37311.18704,0.85,0.03,0.12,0.31,0.479130322,0,1.41,0.53,1.944994543
33,control,no,North America,male,64,never,Liberal,3,19000,0.36,0.11,0.53,0.31,2.092654502,0.28,-0.14,3.13,1.616373519
34,treat,no,Europe,female,53,never,Other,0,34000,0.71,0.27,0.02,0.24,0.74660515,0.04,-0.17,6.21,2.118900755
35,control,no,Asia,male,47,never,Conservative,2,4000,0.39,0.55,0.06,-0.82,0.485192607,0.84,1.81,4.46,2.235353839
36,control,yes,Southern,female,49,married,Other,1,65906.62185,0.8,0.03,0.17,-0.21,0.295647438,0.08,1.53,1.53,-0.549773734
37,treat,no,Asia,male,40,married,Conservative,1,24639.05561,0.9,0.02,0.08,2.16,0.724645906,0.22,0.44,3.15,4.577434324
38,control,yes,North America,male,18,never,Conservative,1,80000,0.47,0.02,0.51,-0.4,1.767129702,0.9,6.14,1.45,1.431410835
39,treat,yes,North America,female,55,married,Conservative,4,83435.36187,0.17,0.56,0.27,0.82,0.798400366,0.14,1.41,3.94,1.641465508
40,control,no,Southern,female,58,married,Conservative,0,62836.27369,0.85,0.04,0.11,-1.11,0.886795206,0.94,-2.15,1.57,0.988929486
41,control,no,North America,male,32,married,Liberal,2,139186.0939,0.67,0.16,0.17,1.88,2.245578742,0.64,3.21,7.29,1.446481451
42,control,yes,North America,male,63,married,New_Democrat,0,84843.47941,0.88,0.03,0.09,0.61,1.927292268,0,-1.88,0.28,0.958969398
43,control,no,North America,female,33,never,Conservative,1,94000,1,0,0,0.9,1.755767258,0.47,1,5.31,1.145092025
44,control,yes,Asia,female,33,never,Liberal,0,39000,0.8,0.13,0.07,0.01,1.254356974,0,0.74,0.37,-1.001201311
45,treat,no,North America,male,62,never,Conservative,1,68000,0.74,0.25,0.01,0.12,1.065400802,0.39,5.07,0.49,4.317765028
46,treat,yes,Europe,male,64,married,New_Democrat,5,141262.8651,0.89,0.11,0,1.16,1.575572103,0.02,-3.46,0.57,3.63511391
47,control,no,Europe,male,62,never,Conservative,1,94000,0.19,0.01,0.8,0.03,1.971681234,1,3.45,6.22,2.323544167
48,control,yes,North America,male,40,never,Conservative,3,14000,0.1,0.28,0.62,-0.26,1.030247107,0.58,1.3,2.07,1.481337775
49,treat,no,Southern,female,46,married,New_Democrat,0,47558.06633,0.81,0.17,0.02,-0.51,1.495106073,0.76,-0.67,3.21,3.043207887
50,treat,no,North America,male,26,never,Liberal,3,70000,0.6,0.38,0.02,-0.24,0.839453964,0.54,-1.85,6.27,2.937599363
51,treat,yes,North America,female,38,widowed,New_Democrat,6,115533.5223,0.22,0.05,0.73,-0.13,1.346184624,0,-0.54,3.39,2.432871534
52,control,yes,North America,male,24,married,New_Democrat,2,149469.4046,0.74,0.25,0.01,1.69,0.768500018,0.16,1.76,1.37,1.639239519
53,control,yes,Europe,male,48,never,Liberal,0,42000,0.55,0.23,0.22,-0.26,0.233555241,0.99,-0.21,2.75,0.256761491
54,treat,no,North America,male,58,never,Liberal,2,36000,0.99,0,0.01,0.97,0.519090903,0.08,1.57,7.05,3.154601438
55,control,yes,Asia,male,44,never,Conservative,2,140000,0.12,0.4,0.48,-0.28,1.074939134,0.44,1.13,2.54,1.26262875
56,treat,yes,Europe,male,48,divorced,Other,0,65594.05471,0.32,0.43,0.25,-1.22,0.636833943,0.71,2.66,3.43,2.173452275
57,control,no,North America,female,60,married,Conservative,0,41789.14026,0.34,0.39,0.27,-0.53,1.379813506,0.05,-0.16,4.53,0.941511184
58,control,no,Europe,female,64,divorced,Conservative,3,27779.76361,0.55,0.38,0.07,0.58,1.101680395,0.11,2.22,0.98,1.066059294
59,treat,yes,North America,female,64,never,Liberal,1,20000,0.25,0.44,0.31,0.76,1.145465034,0.04,1.37,0.56,1.407265443
60,control,yes,Asia,female,26,divorced,Liberal,3,32430.41324,0.76,0.11,0.13,-1.78,0.525887016,0.44,0.21,0.46,-1.34526289
61,treat,yes,North America,female,38,divorced,Liberal,2,9172.201466,0.6,0.02,0.38,0.38,1.496138045,0.1,-0.56,10.15,1.314930238
62,control,no,Southern,female,20,married,Liberal,2,56401.84126,0.13,0.59,0.28,1.23,1.216122953,0,-0.17,2.54,0.0810642
63,treat,no,North America,female,64,divorced,Liberal,4,0,0.39,0.18,0.43,0.05,0.119158717,0.71,3.29,0.99,1.977798624
64,control,no,North America,female,29,divorced,Liberal,1,0,0.93,0.02,0.05,-0.49,1.011248734,0.03,2.21,3.59,-0.040396211
65,control,yes,North America,female,23,married,Liberal,1,96766.15343,0.46,0.02,0.52,1.36,1.01362706,0.73,1.51,3.42,-1.401459609
66,treat,no,Asia,male,46,married,Other,2,141387.7162,0.26,0.4,0.34,0.57,0.775292913,0.45,-0.64,0.93,3.914190572
67,control,yes,North America,male,52,married,New_Democrat,1,89395.14322,1,0,0,0.45,1.872445957,0.18,1.39,0.52,1.711454583
68,treat,yes,Asia,female,27,divorced,Conservative,0,109889.1669,0.71,0.23,0.06,0.38,1.894669145,0.05,-2.51,0.27,2.243333902
69,control,yes,North America,male,60,divorced,Other,2,117633.2303,0.52,0.42,0.06,0.61,1.669717205,0.87,0.11,1.56,1.330185971
70,treat,yes,North America,male,49,married,Conservative,1,11011.73723,0.02,0.5,0.48,-0.02,1.679974408,0.32,0.35,2.85,3.386601004
71,control,yes,Asia,female,26,widowed,Conservative,1,147712.1401,0.26,0.6,0.14,-0.65,1.828151903,0.52,-0.51,1.29,0.34873457
72,treat,yes,North America,male,40,married,New_Democrat,1,70116.16959,0.1,0.49,0.41,0.57,0.512447623,0,-2.29,0.94,3.225056146
73,control,yes,Asia,male,43,divorced,Liberal,2,53787.18613,0.79,0.1,0.11,-0.64,0.485688217,0.76,0.05,1.02,-0.123267816
74,treat,yes,North America,female,57,divorced,Liberal,3,57226.87661,0.23,0.07,0.7,0.63,1.627276421,0.96,-1.89,2.82,0.495672045
75,control,no,Europe,male,37,married,Other,1,115069.3137,0.11,0.2,0.69,-0.95,1.144567958,0.93,3.7,1.78,1.963896743
76,control,no,North America,female,29,divorced,New_Democrat,2,21334.6551,0.96,0,0.04,0.27,1.403995308,0.08,-1.92,1.03,1.531995899
77,control,yes,Asia,female,21,divorced,Other,3,46021.01778,0.29,0.08,0.63,-1.22,0.197182946,0.89,0.46,4.03,-1.220228082
78,control,yes,Asia,female,19,divorced,Liberal,2,79145.85138,0.04,0.14,0.82,0.24,1.458020944,0.94,0.5,1.06,-1.29077875
79,treat,no,North America,female,22,married,Conservative,0,147090.2107,0.29,0.3,0.41,-0.12,0.698311918,0.84,0.16,1.43,2.784381661
80,treat,no,Asia,female,30,married,Liberal,3,61710.38326,0.06,0.34,0.6,-0.09,0.222057361,0.8,-0.53,3.82,1.15943932
81,treat,yes,North America,female,22,married,New_Democrat,0,14546.79417,0.64,0.18,0.18,0.76,1.642705763,0.66,-4.16,0.7,2.2393576
82,treat,yes,Asia,female,45,married,Conservative,0,21444.68231,0.14,0.55,0.31,0.14,-0.043465965,0.88,-1.42,4.86,2.494700611
83,treat,no,North America,female,41,married,New_Democrat,0,99411.97274,0.86,0.12,0.02,-1.66,0.388309541,0.06,-0.87,1.82,2.922019881
84,treat,no,Europe,female,28,divorced,Liberal,1,75647.77331,0.28,0.61,0.11,0.33,1.006387324,0.44,-2.74,2.47,2.001790373
85,control,yes,North America,male,36,married,Liberal,2,10859.78477,0.05,0.69,0.26,-0.21,-0.177565168,0.82,1.2,1.2,-0.34762989
86,control,no,North America,male,32,widowed,Liberal,0,151078.3475,0.23,0.17,0.6,-1.77,0.998136363,0.58,-1.76,3.48,0.900132791
87,control,no,North America,female,37,married,Conservative,0,78983.7707,0.08,0.23,0.69,-2.26,0.208908604,0.6,-0.12,0.87,0.757445206
88,treat,yes,North America,male,56,divorced,Liberal,4,64566.58544,0.51,0.28,0.21,0.44,1.799720022,0.16,0.8,0.43,1.714926791
89,treat,no,North America,female,40,never,Conservative,2,14000,0.46,0.54,0,-0.68,1.033622942,0.04,-2.75,0.69,3.607770905
90,control,no,North America,male,36,married,Conservative,1,115069.8127,0.92,0.07,0.01,1.01,1.490521975,0.04,-1.25,1.11,2.7730916
91,treat,no,North America,male,65,married,New_Democrat,0,41736.02325,0.34,0.26,0.4,-0.07,0.719424647,0.64,-0.02,1.43,4.568274304
92,control,no,Asia,female,31,divorced,Conservative,0,26348.40118,0.11,0.56,0.33,0.13,1.117167957,0.09,-1.02,0.63,1.157977354
93,control,yes,North America,male,55,married,Liberal,0,139831.0152,0.2,0.24,0.56,-0.12,1.544148401,0.69,-2.95,1.77,-0.186495357
94,treat,yes,North America,female,44,married,Liberal,0,75541.80438,0.34,0.65,0.01,-1.04,1.330201957,0.48,2.38,4.31,0.674750243
95,treat,yes,North America,female,28,never,New_Democrat,2,33000,0.19,0.67,0.14,0.23,1.409604606,0.95,2.27,2.05,1.824948789
96,control,yes,North America,female,64,married,Conservative,2,84657.08868,0.09,0.76,0.15,-1.56,0.189980119,0.03,2.44,7.13,0.160621221
97,control,yes,North America,male,38,never,Liberal,1,49000,0.89,0.04,0.07,0.5,0.610885451,0.13,-3.77,2.89,0.228728301
98,treat,yes,Europe,female,25,divorced,Liberal,0,132683.6601,0.81,0.06,0.13,1.48,0.891795195,0.77,2.12,2.86,1.39181834
99,treat,yes,North America,female,54,married,Conservative,2,27350.37325,0.27,0.61,0.12,0.84,0.91651262,0.8,-0.14,2.77,2.193413824
100,treat,no,North America,male,32,married,Conservative,3,60616.80269,0.82,0.16,0.02,-2.34,-0.046069945,0.9,2.99,4.36,3.800077922
101,treat,yes,Southern,male,38,never,Liberal,1,139000,0.62,0.03,0.35,-0.92,0.678540804,0.84,-0.16,5.01,1.996941187
102,treat,yes,North America,female,54,never,New_Democrat,2,123000,0.71,0.14,0.15,-0.27,1.50393022,1,1.24,1.51,2.153932272
103,control,yes,North America,female,24,divorced,New_Democrat,3,78136.95534,0.68,0.1,0.22,0.34,1.217085233,0.23,-0.8,1.13,0.315804649
104,control,yes,North America,female,19,married,Conservative,2,157048.9413,0.39,0.59,0.02,-0.04,1.086178024,0.87,1.68,1.04,-0.365968235
105,treat,yes,North America,female,51,widowed,Other,1,128689.5626,0.73,0.12,0.15,-1.23,1.303668465,0.72,-1.63,3.2,1.164641066
106,control,yes,Asia,female,25,widowed,New_Democrat,2,139478.1911,0.93,0,0.07,0.55,1.563387538,0.03,0.25,0.67,0.223399753
107,control,yes,North America,female,62,married,Liberal,1,52428.42176,0.68,0.15,0.17,0,0.99238417,0.3,-2.98,3.07,-0.728148906
108,treat,no,North America,male,63,divorced,Liberal,4,17086.52758,0,0.31,0.69,0.78,-0.189895189,0.89,1.05,5.66,2.814427536
109,control,no,Europe,male,26,never,Liberal,0,6000,0.3,0.02,0.68,-0.99,1.309164875,0.33,-2.26,0.48,1.022002777
110,treat,yes,North America,female,59,divorced,Conservative,0,0,0.84,0.14,0.02,0.85,1.569287894,0.23,-1.81,0.58,2.53631668
111,control,yes,Europe,male,32,divorced,Liberal,1,73791.14408,0.14,0.07,0.79,-0.55,0.55048695,0.17,-0.46,0.37,-0.32925176
112,control,yes,North America,female,56,never,New_Democrat,1,29000,0.01,0.38,0.61,-0.84,-0.197602537,0.37,-1.68,2.65,-0.001856188
113,control,yes,North America,female,64,never,Liberal,2,98000,0.47,0.24,0.29,-0.22,0.993048024,0.35,4.24,7.44,-1.173319321
114,control,no,North America,female,50,divorced,New_Democrat,3,139590.9359,0.13,0.77,0.1,-0.46,1.098688132,0.26,-7.39,2.45,0.809968603
115,treat,yes,North America,female,27,divorced,Liberal,1,939.8168314,0.07,0.84,0.09,-0.77,-0.060090704,0.43,-1.57,0.93,1.046649277
116,control,no,Asia,female,19,divorced,Liberal,0,73011.15855,0.75,0.14,0.11,1.98,1.576438661,0.44,-2.25,1.52,0.54295342
117,treat,yes,Southern,male,41,never,Conservative,2,102000,0.4,0.25,0.35,-0.01,1.635065604,0.94,1.53,6.1,3.569774255
118,treat,no,Asia,male,39,divorced,New_Democrat,2,107530.1043,0.67,0.15,0.18,-0.79,1.076833122,0.98,2.38,2.31,4.187209821
119,control,yes,North America,female,58,never,Liberal,0,150000,0.17,0.02,0.81,-0.87,1.404859161,0.01,1.62,0.6,-0.641204162
120,treat,yes,North America,male,62,divorced,Conservative,1,47730.64813,0.46,0.34,0.2,1.3,0.909738723,0.84,1.08,1.62,2.49421248
121,treat,no,Europe,female,37,never,Liberal,2,9000,0.94,0.05,0.01,2.19,0.982721154,0.27,-0.11,0.44,2.698756783
122,treat,no,Southern,male,41,divorced,Liberal,2,69201.50481,0.23,0.65,0.12,0.68,0.788435449,0.63,-0.41,5.33,2.61816271
123,treat,yes,North America,female,20,married,Conservative,0,148316.2722,0.45,0.22,0.33,-1.02,2.174579599,0.52,1.83,0.87,2.369230384
124,treat,no,Southern,male,20,married,Other,1,85364.54654,0.92,0.03,0.05,0.43,1.530957505,0.38,-2.67,0.59,3.872557413
125,treat,yes,Asia,female,56,married,Liberal,1,148603.6065,0.97,0.01,0.02,1.17,1.293533049,0.11,-0.47,0.14,0.906357875
126,treat,yes,North America,female,29,married,Conservative,2,92453.23512,0.93,0.06,0.01,0.65,1.436779664,0.78,-0.26,0.86,1.39954228
127,treat,no,North America,female,26,married,Liberal,2,146783.2046,0.87,0.02,0.11,0.24,1.675368444,0.28,-3.47,0.8,1.413514676
128,control,yes,Europe,male,37,married,Liberal,1,113098.7892,0.57,0.06,0.37,2.37,1.406712493,0.99,2.94,2.38,-0.192176842
129,treat,yes,North America,female,50,married,Liberal,0,99604.76264,0.68,0.07,0.25,-0.52,0.896065646,0.9,3,1.97,0.642441382
130,treat,yes,North America,female,44,never,Conservative,0,81000,0.86,0.06,0.08,-0.11,0.384677075,0.08,-1.27,0.1,2.26256512
131,treat,no,Asia,female,49,never,Liberal,2,132000,0.37,0.4,0.23,0.31,2.331494596,0.16,3.84,1.74,1.869442982
132,control,no,Asia,female,37,divorced,Other,0,8569.593557,0.66,0.33,0.01,0.15,0.537288167,0.61,4.6,4.39,0.29165594
133,treat,yes,North America,female,36,divorced,Liberal,4,30163.1926,0.28,0.47,0.25,0.94,1.11177314,0.8,3.6,1.61,1.057684052
134,control,no,Southern,female,55,divorced,Liberal,3,82105.47139,0.67,0.21,0.12,0.26,2.068540526,0.03,-0.9,0.6,0.185717084
135,treat,no,Europe,male,58,married,New_Democrat,1,117408.4075,0.92,0.08,0,1.67,0.936923746,0.04,-0.77,0.77,4.559214287
136,control,no,Asia,male,55,never,New_Democrat,0,71000,0.54,0.25,0.21,0.8,1.291302016,0.47,0.41,2.55,1.949664348
137,control,yes,Europe,male,43,married,Liberal,1,44055.36148,0.04,0.92,0.04,-0.53,0.9223842,0.08,1,0.13,-0.036133068
138,control,no,North America,male,38,divorced,Conservative,2,90588.98729,0.6,0.29,0.11,-0.13,1.635411681,0.02,0.29,2.25,2.251080171
139,control,yes,Southern,female,59,never,Conservative,3,73000,0.67,0.06,0.27,0.82,0.98087928,0.09,-2.81,3.14,-0.028609898
140,control,yes,North America,male,60,married,New_Democrat,1,101553.113,0.13,0.79,0.08,0.71,0.85411563,0.14,-1.51,0.47,1.483439557
141,control,yes,Asia,female,57,never,New_Democrat,1,97000,0.73,0.23,0.04,1.61,1.501100231,0.7,-0.87,7.53,0.481274148
142,treat,yes,North America,female,53,divorced,Conservative,2,14172.68185,0.16,0.34,0.5,1.22,0.341341266,0.04,2.21,3.37,2.417043814
143,control,yes,North America,male,48,married,Conservative,0,24017.80509,0.87,0.02,0.11,-0.07,0.625209895,0.02,-1.19,2,1.60009452
144,control,yes,North America,female,48,never,New_Democrat,1,74000,0.76,0.04,0.2,-1.02,0.648206478,0.44,1.43,0.88,-0.010069131
145,control,yes,Southern,female,49,married,Liberal,3,103346.0929,0.18,0.22,0.6,-1.12,1.383102528,1,2.96,1.5,-1.171915186
146,control,no,North America,male,33,divorced,New_Democrat,0,9908.811746,0.95,0.02,0.03,1.7,1.254374014,1,0.09,6.71,2.186542795
147,treat,no,Asia,male,64,divorced,Conservative,2,27956.03082,0.08,0.01,0.91,0.63,0.749339155,0.1,-1.21,0.68,4.470936369
148,treat,no,Southern,male,62,never,Conservative,0,94000,0.37,0.24,0.39,0,0.982664542,0.33,2.05,0.89,4.454215769
149,treat,yes,Europe,female,38,divorced,New_Democrat,1,92934.56711,0.16,0.7,0.14,-0.43,0.416202909,0.57,1.41,1.3,1.743032076
150,control,no,North America,male,42,married,Other,1,27941.57835,0.57,0.13,0.3,0.8,1.124392548,0.22,-1.42,1.33,1.764185024
151,treat,no,North America,female,45,married,New_Democrat,1,150143.9462,0.44,0.38,0.18,0.48,1.686918824,0.89,-3.25,2.34,3.261733359
152,treat,no,Europe,male,44,married,Conservative,1,70528.42058,0.34,0.63,0.03,0.72,1.176693138,0.53,1.26,1.86,4.438886299
153,treat,no,North America,female,22,married,Conservative,2,95772.88444,0.14,0.37,0.49,1.34,0.703714064,0.29,1.48,1.54,3.34419944
154,treat,yes,Europe,male,26,divorced,Liberal,2,39705.4691,0.04,0.89,0.07,0.86,-0.261842838,1,2.31,1.38,1.355546283
155,control,no,Southern,male,45,divorced,Liberal,0,35636.3851,0.8,0.05,0.15,0.14,0.912899688,0.06,1.06,1.25,1.162615665
156,treat,no,North America,female,29,divorced,Liberal,1,35249.96377,0.55,0.04,0.41,-1.67,0.297645354,0.5,0.59,0.93,1.454710618
157,treat,no,North America,male,47,divorced,Other,1,75451.42909,0.75,0.16,0.09,1.48,1.515300223,0.65,1.86,1.17,3.955328513
158,control,no,Asia,male,23,never,Conservative,0,123000,0.16,0.82,0.02,0.21,0.300979031,0.35,1.35,1.02,2.301557144
159,treat,yes,North America,female,61,divorced,Other,1,62684.14463,0.02,0.4,0.58,0.03,0.37705225,0.13,-1.4,1.03,1.368874712
160,treat,no,North America,female,52,divorced,Conservative,1,132323.7202,0.3,0.54,0.16,1.4,1.369768509,0.07,-1.74,1,3.749568733
161,control,yes,North America,male,32,never,Conservative,2,129000,0.27,0.56,0.17,0.38,0.703936698,0.06,1.91,4.59,1.59417299
162,treat,no,North America,male,19,divorced,Liberal,2,112043.7148,0.26,0.4,0.34,-0.75,1.698801986,0.62,2.83,1.06,3.100170783
163,treat,no,North America,female,64,never,New_Democrat,0,5000,0.48,0.13,0.39,0.04,0.72944294,0.26,3.14,0.44,3.523126825
164,treat,yes,Asia,female,21,divorced,Conservative,3,49655.93135,0.26,0.34,0.4,-1.74,0.827454064,0.06,2.54,0.84,1.720383744
165,control,no,Asia,male,58,divorced,New_Democrat,1,82862.51284,0.11,0.25,0.64,0.63,0.57397977,0.46,5.64,0.53,2.481219199
166,control,no,Southern,female,25,married,Liberal,1,147836.7835,0.41,0.32,0.27,-0.21,0.386682804,0.39,-2.24,9.01,0.021840568
167,control,no,North America,male,52,married,Liberal,2,74301.56832,0.62,0.17,0.21,-0.15,0.841792672,1,2.73,1.39,0.875360612
168,control,no,Southern,male,44,married,Liberal,2,144348.3998,0.5,0.27,0.23,1.47,2.051462002,0.01,-0.55,3.91,1.384060295
169,treat,no,Europe,male,36,divorced,Other,2,38334.41204,0.58,0.17,0.25,-1.89,0.003371424,0.22,0.79,0.52,2.923974016
170,treat,yes,North America,female,65,married,New_Democrat,1,28985.38436,0.66,0.11,0.23,0.55,1.177003183,0.98,0.38,1.21,2.277217578
171,treat,no,North America,female,39,widowed,New_Democrat,2,149238.9955,0.34,0.1,0.56,-0.79,0.734893779,0.04,-0.62,0.56,3.478314125
172,control,yes,North America,female,30,married,Conservative,0,10907.34285,1,0,0,1.44,1.038507504,0,1.49,6.49,-0.045082589
173,treat,no,North America,female,42,divorced,Conservative,1,683.3443211,0.7,0.03,0.27,-0.61,0.14475873,0.72,-0.6,3.12,3.14975603
174,treat,no,North America,male,28,married,Liberal,0,19231.87183,0.53,0.3,0.17,-0.48,0.881628597,0.41,0.13,0.69,2.966762555
175,treat,no,Asia,male,26,married,Other,3,38092.77238,0.78,0.03,0.19,1.18,1.096653964,0.88,-0.48,2.99,3.673140397
176,control,yes,North America,male,39,divorced,New_Democrat,0,4923.951743,0.29,0.25,0.46,-0.9,0.708296094,0.98,3.41,1.83,1.034809284
177,control,no,Europe,male,20,divorced,Conservative,1,104700.4088,0,0.98,0.02,0.26,1.515648318,0.07,-0.57,1.71,1.537494286
178,control,yes,North America,male,24,married,Liberal,0,18951.01419,0.05,0.88,0.07,0.27,1.262739797,0.67,-0.84,0.92,-0.210390876
179,control,yes,Southern,male,64,divorced,Conservative,1,132110.9363,0.29,0.14,0.57,0.51,1.512468514,0.89,-0.95,2.65,1.717003117
180,control,no,North America,female,20,married,New_Democrat,1,72801.29506,0.74,0.25,0.01,0.94,0.924839723,0.63,0.46,1.45,1.126934348
181,control,yes,North America,male,22,divorced,Conservative,3,0,0,0.23,0.77,-0.35,0.89890118,0.7,-1.08,2.06,0.979717655
182,treat,no,North America,male,50,never,Liberal,1,45000,0.36,0.39,0.25,0.56,1.27861486,0.18,3.54,4.61,3.489207446
183,control,yes,Asia,female,47,never,Conservative,1,9000,0.17,0.46,0.37,-0.44,0.118379408,0.01,-1,1.29,0.151792916
184,treat,yes,Asia,female,58,married,Conservative,2,126339.5798,0.32,0.12,0.56,0.73,2.252250031,0.05,-2.54,1.25,2.234906362
185,treat,no,Southern,female,46,divorced,Conservative,2,86405.89705,0.09,0.84,0.07,0.13,0.419250879,0.02,2.71,3.23,3.159026947
186,treat,yes,North America,female,44,divorced,Other,1,117214.2626,0.84,0.09,0.07,-1.35,1.0946162,0,2.09,0.73,1.541038158
187,treat,yes,North America,male,60,never,New_Democrat,2,133000,0.37,0.52,0.11,1.07,1.048957483,0.08,0.94,8.63,2.644039823
188,treat,no,Asia,female,65,married,Conservative,1,125949.0176,0.97,0,0.03,1.1,2.073655174,0.71,-1.05,1.11,3.567454606
189,control,no,North America,female,45,divorced,Conservative,3,115920.7615,0.44,0.17,0.39,1.46,2.44799966,0.84,1.41,3,2.025902506
190,treat,no,North America,male,19,married,Liberal,1,39868.20634,0.46,0.04,0.5,0.19,1.062088245,0.24,0.97,6.48,2.811858292
191,control,yes,Southern,female,19,divorced,Liberal,1,32028.89017,0.43,0.25,0.32,-0.2,0.961153841,0.92,0.41,4.13,-1.553713579
192,control,yes,Asia,female,63,married,Liberal,2,37658.63411,0.68,0.18,0.14,-0.99,0.618178965,0.54,1.43,2.33,-1.281244101
193,control,yes,North America,female,47,married,Conservative,1,134704.4759,0.01,0.84,0.15,0.14,0.717435605,0.87,1.07,9.49,0.506686924
194,treat,no,North America,male,25,married,Conservative,1,92052.03532,0.92,0.02,0.06,-0.59,0.875833643,0.96,-0.41,6.16,3.996766551
195,control,yes,Southern,female,32,married,Liberal,1,98413.55456,0.02,0.88,0.1,-0.76,0.87891263,0.51,1.39,4.28,-0.913449499
196,control,yes,Europe,female,35,married,Conservative,1,61613.45035,0.42,0.15,0.43,-0.94,0.770215192,1,0.76,3.31,-0.140580727
197,control,no,Asia,female,57,divorced,New_Democrat,1,58515.75537,0.87,0.04,0.09,-1.56,0.798645911,0.62,0.35,1.06,1.049604279
