"RBC","HR","SR","WS","SF","Hol","Humid","RF","Temp","Seas"
1882,10,2.33,1.5,0,"No Holiday",66,0,24.2,"Autumn"
1679,0,0,1.1,0,"No Holiday",75,0,28.1,"Summer"
1285,0,0,0.9,0,"No Holiday",55,0,-0.3,"Winter"
2143,21,0,1.2,0,"No Holiday",44,0,9.4,"Spring"
1508,4,0,3.2,0,"No Holiday",67,0,8.8,"Autumn"
1258,5,0,1.5,0,"No Holiday",44,0,-5.7,"Winter"
2552,16,1.17,1.1,0,"No Holiday",45,0,32.7,"Summer"
1506,9,0.25,1.1,0,"No Holiday",81,0,27.3,"Summer"
2259,22,0,2,0,"No Holiday",51,0,13.4,"Autumn"
2245,15,1.2,2.1,0,"No Holiday",60,0,27.5,"Summer"
1739,17,0.39,0.5,0,"No Holiday",38,0,-4.1,"Winter"
1528,4,0,2,0,"No Holiday",63,0,20.5,"Summer"
642,0,0,0.9,0,"No Holiday",77,0,4.7,"Winter"
1086,2,0,2.1,0,"No Holiday",57,0,7,"Autumn"
1444,1,0,1.9,0,"No Holiday",51,0,31.5,"Summer"
2230,17,0.29,0.5,0,"No Holiday",73,0,24.2,"Autumn"
1022,10,1.16,1,0,"No Holiday",97,2,11.3,"Spring"
1537,14,0.81,1.8,0,"No Holiday",76,0,0.4,"Autumn"
1833,20,0,1.6,0,"No Holiday",87,1,8.2,"Spring"
2676,22,0,5,0,"No Holiday",51,0,29.9,"Summer"
2520,12,1.05,0.6,0,"No Holiday",41,0,17.6,"Spring"
2116,19,0.19,0.9,0,"Holiday",50,0,11.2,"Autumn"
1374,6,0,3.4,1.7,"No Holiday",44,0,-1.6,"Winter"
1567,21,0,0.7,0,"No Holiday",67,0,1,"Winter"
1710,10,1.28,2.2,0,"No Holiday",42,0,12.8,"Autumn"
1609,18,0,1.3,0,"No Holiday",78,0,12.6,"Autumn"
1713,15,0.53,2.3,0,"No Holiday",97,2,16,"Spring"
1936,17,1.49,4.1,0,"No Holiday",47,0,5.9,"Autumn"
1319,13,0.98,0.5,0,"No Holiday",29,0,-7.8,"Winter"
1342,1,0,2.4,0,"No Holiday",55,0,12.7,"Autumn"
1695,16,1.42,1.9,0,"No Holiday",79,0,2.7,"Autumn"
1131,13,2.33,3.4,0,"No Holiday",94,0.5,18.1,"Summer"
1473,11,1.74,0.7,0,"No Holiday",41,0,-4.2,"Winter"
1773,11,2.89,1.3,0,"No Holiday",61,0,18,"Autumn"
1345,14,2.19,0.9,0,"No Holiday",75,0.5,24.8,"Summer"
1850,20,0,1.4,0,"No Holiday",95,1,14,"Spring"
2558,15,2.09,2.4,0,"No Holiday",14,0,6.2,"Autumn"
1981,6,0,2.5,0,"No Holiday",22,0,17.8,"Spring"
1903,10,1.6,0.7,0,"No Holiday",46,0,20.3,"Spring"
1520,1,0,0.9,0,"No Holiday",84,0,26,"Summer"
1713,15,0.45,2.8,0,"No Holiday",66,0,27,"Summer"
1807,13,0.32,0.9,0,"No Holiday",66,0,0.3,"Autumn"
2119,8,0,1.1,0,"No Holiday",22,0,9.9,"Spring"
2170,11,0.17,2.6,0,"No Holiday",79,0,28.8,"Summer"
2935,21,0,0.6,0,"No Holiday",25,0,17.5,"Autumn"
667,4,0,1.8,0,"No Holiday",77,0,-2.3,"Winter"
1570,8,0.1,1,0,"No Holiday",58,0,12.2,"Spring"
2090,2,0,3.1,0,"No Holiday",37,0,14.1,"Autumn"
1983,8,0.21,2.5,0,"No Holiday",29,0,2.5,"Autumn"
1666,14,2.68,1.3,0,"No Holiday",81,0,14,"Autumn"
1467,15,2.28,1.9,0,"No Holiday",39,0,-9.7,"Winter"
1814,10,1.43,2,0,"No Holiday",72,0,0.9,"Autumn"
1907,23,0,0.6,0,"No Holiday",76,0,25.2,"Autumn"
2185,21,0,3.8,0,"No Holiday",67,0,5.4,"Autumn"
1253,0,0,3,0.4,"No Holiday",84,0,4.6,"Autumn"
2520,20,0,1.2,0,"No Holiday",43,0,32.3,"Summer"
1151,3,0,0.5,1.8,"No Holiday",32,0,-3.1,"Winter"
1938,21,0,0.4,0,"No Holiday",95,0,9,"Spring"
969,6,0,0.2,0,"No Holiday",98,3.5,19.9,"Summer"
1862,18,0.2,1.3,0,"No Holiday",69,0,16.8,"Spring"
2353,17,1.28,0.7,0,"No Holiday",75,0,19.6,"Autumn"
2282,19,0,2.7,0,"No Holiday",70,0,15.1,"Autumn"
1321,3,0,1.9,0,"No Holiday",34,0,-8.3,"Winter"
2372,17,0.89,1.2,0,"No Holiday",33,0,29.2,"Summer"
2721,20,0,1.3,0,"No Holiday",47,0,15.5,"Autumn"
1362,5,0,2.6,0,"No Holiday",92,0,22.9,"Summer"
1585,10,0.62,0.5,0.6,"No Holiday",25,0,-13.5,"Winter"
878,1,0,3.4,0,"No Holiday",87,1.2,17.6,"Autumn"
1118,16,1.77,1,4.8,"No Holiday",84,0,-1.9,"Winter"
1407,1,0,3,4.1,"No Holiday",78,0,4.5,"Autumn"
2044,3,0,2.4,0,"No Holiday",49,0,22.2,"Autumn"
1212,3,0,1.7,0,"No Holiday",64,0,1.7,"Spring"
2187,6,0,2.5,0,"No Holiday",31,0,17.8,"Spring"
1322,3,0,2.7,0,"No Holiday",63,0,17,"Spring"
2544,18,0,0.4,0,"No Holiday",68,0,22.6,"Autumn"
2205,21,0,1.4,0,"No Holiday",58,0,7.3,"Spring"
1639,9,0.89,1,0,"No Holiday",28,0,-0.7,"Winter"
1866,23,0,2.9,0.3,"No Holiday",86,0,2.5,"Autumn"
1654,5,0,2.7,0,"No Holiday",51,0,13.7,"Spring"
2609,22,0,1.7,0,"Holiday",32,0,16.7,"Autumn"
1791,20,0.02,2.4,0,"No Holiday",98,7,24.2,"Summer"
2317,14,1.12,2.5,0,"No Holiday",28,0,18.5,"Spring"
1823,2,0,0.6,0,"No Holiday",52,0,8.6,"Autumn"
2155,23,0,2.5,0,"No Holiday",73,0,25.5,"Summer"
731,1,0,0.7,0,"No Holiday",55,0,-7,"Winter"
1139,13,0.57,0.8,0,"No Holiday",47,0,-11,"Winter"
1225,1,0,4,0,"No Holiday",81,0,25.3,"Summer"
1939,3,0,2.9,0,"No Holiday",60,0,25.6,"Summer"
2093,0,0,3.5,0,"No Holiday",34,0,17.7,"Autumn"
1940,12,2.45,0.6,0,"No Holiday",30,0,-4,"Winter"
1121,5,0,0.8,0,"No Holiday",57,0,5.8,"Winter"
1237,9,1.76,3.5,2,"No Holiday",64,0,-8,"Winter"
1680,13,0.85,3.2,0,"No Holiday",57,0,21.8,"Spring"
2376,9,0.05,1.2,0,"No Holiday",32,0,21.2,"Autumn"
897,8,0.29,1.5,0,"No Holiday",65,0,0.7,"Winter"
2937,13,3.36,2,0,"No Holiday",65,0,17.7,"Spring"
2391,22,0,0.7,0,"No Holiday",28,0,20.6,"Spring"
1619,12,1.35,2.5,0,"No Holiday",54,0,3.5,"Winter"
1991,15,0.7,0.7,0,"No Holiday",76,0,15.5,"Spring"
1632,11,0.94,0.5,0,"No Holiday",29,0,-0.4,"Winter"
1505,6,0.03,2,0,"No Holiday",50,0,33.2,"Summer"
1813,7,0.04,0,0,"No Holiday",75,0,20.2,"Autumn"
2134,23,0,3.6,0,"No Holiday",72,0,17.8,"Autumn"
1813,22,0,3.1,0,"Holiday",67,0,12.9,"Spring"
1306,9,0.3,0.4,0,"Holiday",69,0,21.1,"Autumn"
2333,9,0.86,0.5,0,"No Holiday",64,0,12.9,"Autumn"
1193,23,0,1.4,0,"No Holiday",85,1,3.2,"Winter"
1040,3,0,0.6,0,"No Holiday",38,0,-7.2,"Winter"
2657,19,0,2.7,0,"No Holiday",50,0,33.5,"Summer"
1841,1,0,3.7,0,"No Holiday",42,0,16.3,"Spring"
2748,18,0.07,1.4,0,"No Holiday",37,0,24.8,"Summer"
2621,15,1.21,0.6,0,"No Holiday",43,0,17.3,"Autumn"
2065,17,0.18,2.4,0,"No Holiday",74,0,11.7,"Autumn"
906,0,0,1.3,0,"No Holiday",85,0,24.1,"Summer"
785,1,0,1.1,0,"No Holiday",48,0,-10.5,"Winter"
966,2,0,0.7,0,"No Holiday",87,0,6.7,"Autumn"
1500,9,0.17,0.9,0,"No Holiday",40,0,0.9,"Spring"
1819,8,0.01,1.7,0,"No Holiday",50,0,31.2,"Summer"
2169,22,0,0.8,0,"No Holiday",15,0,3.2,"Winter"
1435,0,0,2.3,0,"No Holiday",78,0,25.9,"Summer"
2136,18,0.2,4,0,"No Holiday",79,2,28.1,"Summer"
1680,5,0,2.3,0,"No Holiday",56,0,8.7,"Spring"
1301,3,0,2.6,0,"No Holiday",96,1,8,"Spring"
2236,21,0,0.9,0,"No Holiday",47,0,30.1,"Summer"
2313,10,0.69,0.8,0,"No Holiday",41,0,17.5,"Autumn"
1898,7,0,0.8,0,"No Holiday",62,0,30.3,"Summer"
971,9,0.05,1.8,0,"No Holiday",46,0,-10.9,"Winter"
1559,7,0.03,0.2,0,"No Holiday",30,0,0.8,"Winter"
1170,4,0,1.5,0,"No Holiday",47,0,-4.5,"Winter"
1549,7,0.46,1.6,0,"No Holiday",71,0,19.1,"Autumn"
1619,5,0,1.1,0,"No Holiday",85,0,16.5,"Spring"
1783,12,3.19,2.7,0,"No Holiday",71,0,9,"Autumn"
1483,18,0.62,1.3,0,"No Holiday",30,0,-4.4,"Winter"
1208,19,0.02,2.3,0,"No Holiday",70,0,-3.9,"Winter"
1474,11,1.08,1.7,0,"No Holiday",84,0,22.6,"Summer"
1927,10,0.96,1,0,"No Holiday",45,0,14.7,"Spring"
1477,2,0,4.2,0,"Holiday",71,0,24.5,"Autumn"
1199,13,2.51,2.3,0,"No Holiday",24,0,2.9,"Winter"
1242,17,1.79,0.9,0,"No Holiday",94,4,16.7,"Autumn"
1737,23,0,0.5,0.7,"No Holiday",36,0,-15.1,"Winter"
1528,3,0,2.3,0,"No Holiday",72,0,4.9,"Autumn"
2235,12,0.15,2.1,0,"No Holiday",98,6,18.4,"Autumn"
986,6,0.04,0.8,0.8,"No Holiday",72,0,-7.9,"Winter"
1173,19,0,0.7,0,"Holiday",63,0,1.9,"Winter"
2664,3,0,2.2,0,"No Holiday",32,0,28.9,"Autumn"
1241,1,0,0.8,0,"No Holiday",43,0,1.8,"Winter"
2001,16,0.48,2.7,0,"No Holiday",41,0,4.5,"Spring"
1076,3,0,1.1,2.6,"No Holiday",71,0,-2.7,"Winter"
2229,20,0.02,1.6,0,"No Holiday",85,0,22.6,"Summer"
1589,2,0,0.9,0,"No Holiday",43,0,21.4,"Spring"
2296,2,0,2.6,0,"No Holiday",36,0,27.1,"Autumn"
1440,1,0,1.2,0,"No Holiday",62,0,9.8,"Spring"
1716,0,0,0.9,0,"No Holiday",29,0,22.5,"Spring"
2393,5,0,1.1,0,"No Holiday",39,0,25.6,"Autumn"
1661,14,0.71,0.6,0,"No Holiday",40,0,-2.3,"Winter"
1980,21,0,2.7,0,"No Holiday",42,0,-9.6,"Winter"
1206,3,0,1.7,0,"Holiday",27,0,-0.6,"Winter"
1073,15,2.65,1.6,0,"No Holiday",28,0,-11.1,"Winter"
1583,15,2.8,0.9,0,"No Holiday",81,0,17.6,"Summer"
2466,20,0,2.9,0,"No Holiday",69,0,30,"Summer"
1608,6,0,1.2,0,"No Holiday",49,0,1.9,"Spring"
2245,19,0.14,0.6,0,"No Holiday",58,0,11.7,"Autumn"
1267,18,1.28,1.1,0,"Holiday",63,0,-1.2,"Winter"
1429,4,0,0.8,0,"No Holiday",30,0,-1.4,"Winter"
1304,13,2.66,0.8,0,"No Holiday",33,0,-4.1,"Winter"
1714,15,0.72,1.1,2.8,"No Holiday",40,0,-1.4,"Winter"
2201,14,2.16,0.9,0,"No Holiday",70,0,15.1,"Autumn"
2579,12,0.85,1.6,0,"No Holiday",35,0,19,"Spring"
1984,19,0.13,0.8,0,"No Holiday",27,0,-9.1,"Winter"
1936,7,0.27,1.4,0,"No Holiday",30,0,11.8,"Spring"
1840,13,2.35,0.5,0,"No Holiday",34,0,11,"Autumn"
1541,18,0.62,1,0,"No Holiday",80,0,1.2,"Winter"
1369,11,0.86,2.3,0,"No Holiday",34,0,3.3,"Winter"
1841,20,0,1.2,0,"No Holiday",83,0,20.3,"Summer"
2032,7,0.42,1.7,0,"No Holiday",48,0,30.5,"Summer"
1795,12,1.8,2.1,0,"No Holiday",63,0,18,"Autumn"
1956,18,0.47,0.9,0,"No Holiday",62,0,12.7,"Spring"
2260,17,0.69,1.7,0,"No Holiday",74,0,32.4,"Summer"
2016,20,0,0.6,0,"No Holiday",67,1,17.5,"Spring"
1436,14,0.27,2.8,0,"No Holiday",82,0,20.5,"Autumn"
2155,12,2.64,2.2,0,"No Holiday",46,0,9.4,"Autumn"
1981,23,0,2.1,0,"No Holiday",63,0,30.7,"Summer"
1410,4,0,2.9,0,"No Holiday",43,0,0.8,"Autumn"
1738,11,0.88,0.8,0,"No Holiday",48,0,3.3,"Spring"
1968,15,2.65,3.1,0,"No Holiday",49,0,25.6,"Autumn"
1833,12,2.08,1.2,0,"No Holiday",63,0,18.6,"Spring"
2416,21,0,1.4,0,"No Holiday",41,0,16.7,"Spring"
